,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,t6,hsp0,m,rh,tdis,twater,mwa
0,24.975,0.0,521.033961507,5295.60520074,-16693.9977177,-5928.3709088,23.6522855239,23.2599470033,23.1982507658,23.7834158069,24.8012574105,23.7904809836,23.0,1.65999403054,0.0,13.8324692269,82.2222222222,0.0
1,24.95,0.0,521.033961507,6930.48782102,-18171.2354571,-9622.06185218,23.0890077296,23.0057657597,23.0061618761,23.4160122549,24.720181577,23.4746959498,23.0,1.77152994302,0.0,13.0700089085,82.2222222222,0.0
2,24.925,0.0,521.033961507,7400.30960564,-1146.62608889,-1329.20921235,23.0112112797,23.0099681831,23.0089951404,23.0231536227,24.6265810466,23.1592497102,23.01,0.38053666961,2876.48648741,20.0674410403,82.2222222222,0.0165642646487
3,24.9,0.0,521.033961507,7350.34483639,-9600.26895719,-20.7508392507,23.0099967194,23.0099684426,23.0100094465,23.0103635053,24.5551196103,23.0115805225,23.01,1.20263002341,0.0,15.210550532,82.2222222222,0.0
4,24.875,0.0,521.033961507,7299.71038833,-7969.99799882,165.382416118,23.0196773038,23.0197512884,23.019491299,23.0197105706,24.4568714884,23.0199391344,23.02,1.12054679014,0.0,16.0703529534,82.2222222222,0.0
5,24.85,0.0,521.033961507,7280.35997601,-8026.32809198,4.39545180523,23.0199345983,23.0199519292,23.0199931332,23.0199653919,24.3718594011,23.0199991964,23.02,1.02335921054,0.0,15.3568659153,82.2222222222,0.0
6,24.825,0.0,521.033961507,7239.21449321,-7437.02299437,166.713532465,23.0296940735,23.0297517589,23.0294610228,23.0297768233,24.3124989178,23.0298927565,23.03,0.967008699249,0.0,15.5155022374,82.2222222222,0.0
7,24.8,0.0,521.033961507,7211.4807601,-7948.7179829,4.74881960543,23.0299720807,23.0299820816,23.0300399209,23.0299967359,24.2647783856,23.0299988456,23.03,1.05439176452,0.0,15.6643683629,82.2222222222,0.0
8,24.775,0.0,521.033961507,7188.24011398,-7690.59038052,-0.00781650664641,23.0299716231,23.0299800764,23.0300439522,23.0299942601,24.2282268187,23.0299827358,23.03,1.00156850175,0.0,15.5276927569,82.2222222222,0.0
9,24.75,0.0,521.033961507,7137.18293064,-7382.62086487,166.160103922,23.0396999997,23.0397555071,23.0394397086,23.0397798582,24.2025837655,23.0398933077,23.04,0.961678676971,0.0,15.5391119001,82.2222222222,0.0
10,24.725,0.0,521.033961507,7108.29485997,-7844.72192119,4.67297384298,23.0399736033,23.0399820656,23.040010807,23.0399972583,24.1786699539,23.0399988685,23.04,1.03770333238,0.0,15.6538067791,82.2222222222,0.0
11,24.7,0.0,521.033961507,7059.59802486,-7255.44829258,166.172867585,23.0497037019,23.0497588373,23.0494232364,23.0497826553,24.1634584484,23.0498974309,23.05,0.936436827394,0.0,15.4796162561,82.2222222222,0.0
12,24.675,0.0,521.033961507,7031.83098428,-7764.74476912,5.11445011602,23.0500031837,23.0500060967,23.0500572637,23.0500207371,24.1482784902,23.049998926,23.05,1.02770663068,0.0,15.6680794139,82.2222222222,0.0
13,24.65,0.0,521.033961507,6986.45036163,-7182.44952608,165.726365898,23.0597080933,23.059762396,23.0594163973,23.0597855866,24.1401604693,23.0598992227,23.06,0.92572604738,0.0,15.4791743683,82.2222222222,0.0
14,24.625,0.0,521.033961507,6962.38425287,-7693.75883446,4.92594918577,23.0599965657,23.0600001427,23.0600283019,23.060015366,24.130857284,23.0599989565,23.06,1.01695082836,0.0,15.6682861682,82.2222222222,0.0
15,24.6,0.0,521.033961507,6918.20072676,-7111.95945428,166.272221707,23.069734394,23.0697841166,23.0694584025,23.0698059527,24.1274041276,23.0699008631,23.07,0.915402027804,0.0,15.4790738658,82.2222222222,0.0
16,24.575,0.0,521.033961507,6894.99337552,-7626.85274697,4.39424979511,23.0699917542,23.0699957611,23.0700066592,23.0700113841,24.1219306855,23.0699989849,23.07,1.00680477912,0.0,15.6688581565,82.2222222222,0.0
17,24.55,0.0,521.033961507,6878.48336181,-7375.08345916,0.0900382790312,23.0699970277,23.0699988987,23.0700301983,23.070013808,24.1181835786,23.0699854355,23.07,0.955438694161,0.0,15.5284785158,82.2222222222,0.0
18,24.525,0.0,521.033961507,6834.20715274,-7074.65023859,166.122913517,23.0797273777,23.0797782721,23.0794270044,23.079799614,24.1185418677,23.0799008297,23.08,0.916732035352,0.0,15.5400223026,82.2222222222,0.0
19,24.5,0.0,521.033961507,6812.8035949,-7544.34347532,4.41312270037,23.079985877,23.0799905754,23.0799795519,23.0800065952,24.1161591651,23.0799989973,23.08,0.992560477798,0.0,15.6540035887,82.2222222222,0.0
20,24.475,0.0,521.033961507,6771.72859241,-6961.68123677,166.360013711,23.0897310774,23.0897820058,23.0894213659,23.0898025481,24.1181773465,23.0899044842,23.09,0.893946955796,0.0,15.4813932887,82.2222222222,0.0
21,24.45,0.0,521.033961507,6751.41741118,-7480.783381,4.31726771813,23.089983987,23.089988754,23.0899699728,23.0900048347,24.1172671391,23.0899990445,23.09,0.984794370417,0.0,15.6685599513,82.2222222222,0.0
22,24.425,0.0,521.033961507,6711.15137131,-6899.67473413,166.394019142,23.0997321456,23.0997830998,23.0994168856,23.0998028955,24.1205212506,23.0999059481,23.1,0.88462942826,0.0,15.4797938034,82.2222222222,0.0
23,24.4,0.0,521.033961507,6691.27872221,-7419.61589194,4.27935384968,23.0999828591,23.0999875646,23.0999640075,23.100003614,24.1206686733,23.0999990689,23.1,0.975426686572,0.0,15.6685976001,82.2222222222,0.0
24,24.375,0.0,521.033961507,6677.89206776,-7170.21021919,0.120329424932,23.099989909,23.0999922223,23.099995626,23.1000074603,24.1214993794,23.0999871472,23.1,0.925291356823,0.0,15.5293027765,82.2222222222,0.0
25,24.35,0.0,521.033961507,6637.77010539,-6874.05323772,166.238485029,23.1097302439,23.1097813111,23.109410123,23.1098001209,24.1255022655,23.1099056634,23.11,0.887236305015,0.0,15.540451251,82.2222222222,0.0
26,24.325,0.0,521.033961507,6619.67310673,-7347.55276953,4.29600146039,23.109981966,23.109986467,23.1099589081,23.110002369,24.1261867816,23.1099990767,23.11,0.962745860306,0.0,15.6538911832,82.2222222222,0.0
27,24.3,0.0,521.033961507,6581.68915237,-6767.32261974,166.453723383,23.119735884,23.1197865989,23.119414348,23.1198044345,24.1306308294,23.1199189162,23.12,0.865666241864,0.0,15.4823317786,82.2222222222,0.0
28,24.275,0.0,521.033961507,6563.98261553,-7289.76117056,4.19910413981,23.119981953,23.1199862348,23.1199575549,23.1200019397,24.1317931027,23.1199992144,23.12,0.955707673226,0.0,15.6680822241,82.2222222222,0.0
29,24.25,0.0,521.033961507,6526.34109999,-6710.61721489,166.476159119,23.1297381588,23.1297886846,23.1294160174,23.1298056289,24.1366653378,23.1299198906,23.13,0.857116520261,0.0,15.4808064429,82.2222222222,0.0
30,24.225,0.0,521.033961507,6508.91953381,-7233.69963392,4.16138771156,23.1299820419,23.1299861104,23.1299568507,23.1300015783,24.1382034489,23.1299992316,23.13,0.947086904604,0.0,15.6681000474,82.2222222222,0.0
31,24.2,0.0,521.033961507,6498.73980622,-6987.00182891,0.121703590956,23.1299891747,23.1299909064,23.1299894069,23.1300055901,24.1401516697,23.129988302,23.13,0.898183179551,0.0,15.5301695101,82.2222222222,0.0
32,24.175,0.0,521.033961507,6461.41618174,-6693.7327563,166.315639297,23.1397372687,23.1397877549,23.1394145398,23.1398035726,24.1450304225,23.1399193186,23.14,0.860567240504,0.0,15.5406661433,82.2222222222,0.0
33,24.15,0.0,521.033961507,6445.40116206,-7169.73657099,4.17946429796,23.1399822438,23.1399860199,23.1399563868,23.1400011023,24.1464957402,23.1399992344,23.14,0.935646130913,0.0,15.65366461,82.2222222222,0.0
34,24.125,0.0,521.033961507,6409.51728371,-6591.04567148,166.518233533,23.1497431877,23.1497932994,23.1494207198,23.1498080934,24.1515195772,23.1499218679,23.15,0.839904428644,0.0,15.4831781324,82.2222222222,0.0
35,24.1,0.0,521.033961507,6393.93743584,-7116.23224584,4.08509581907,23.1499826554,23.1499862098,23.1499568007,23.1500009691,24.1532055869,23.1499992659,23.15,0.929147992098,0.0,15.6675742189,82.2222222222,0.0
36,24.075,0.0,521.033961507,6358.40637766,-6538.63305275,166.536113949,23.1597456236,23.1597955483,23.1594235856,23.1598094158,24.1584478931,23.1599227788,23.16,0.831981988919,0.0,15.4817296286,82.2222222222,0.0
37,24.05,0.0,521.033961507,6343.57525365,-7064.9016889,4.04942357531,23.1599830239,23.1599863855,23.1599572262,23.1600008026,24.160339288,23.1599992815,23.16,0.921222172768,0.0,15.6676408738,82.2222222222,0.0
38,24.025,0.0,521.033961507,6335.06235952,-6819.43339137,0.117268300326,23.1599898991,23.1599910236,23.1599892653,23.1600047211,24.1625653183,23.1599891612,23.16,0.873265837215,0.0,15.5308144468,82.2222222222,0.0
39,24.0,0.0,521.033961507,6299.33167615,-6527.83925882,166.377738493,23.1697448818,23.1697947939,23.1694231131,23.1698074842,24.1676422604,23.1699221427,23.17,0.835950428528,0.0,15.540797844,82.2222222222,0.0
40,23.975,0.0,521.033961507,6284.9584411,-7005.86029962,4.06942050438,23.1699834863,23.1699866067,23.1699577492,23.1700005032,24.1693139586,23.1699992831,23.17,0.910576902573,0.0,15.653399631,82.2222222222,0.0
41,23.95,0.0,521.033961507,6250.73563254,-6428.33182739,166.570135133,23.1797507273,23.179800301,23.1794295797,23.1798119728,24.1744553919,23.1799246448,23.18,0.816057098271,0.0,15.4839581053,82.2222222222,0.0
42,23.925,0.0,521.033961507,6236.70162934,-6955.62009796,3.97796191281,23.1799839926,23.1799869336,23.1799585214,23.1800004359,24.17629076,23.179999313,23.18,0.904482805105,0.0,15.6670218076,82.2222222222,0.0
43,23.9,0.0,521.033961507,6203.17257856,-6379.51810105,166.585222554,23.1897530964,23.1898025196,23.1894325758,23.1898132646,24.181603385,23.1899255088,23.19,0.808670990307,0.0,15.4826408605,82.2222222222,0.0
44,23.875,0.0,521.033961507,6189.85607909,-6907.837003,3.94449173215,23.1899844222,23.1899872137,23.1899591647,23.1900003133,24.1835955234,23.1899993272,23.19,0.897082715565,0.0,15.6670830848,82.2222222222,0.0
45,23.85,0.0,521.033961507,6182.95819542,-6663.58762011,0.111768303394,23.1899909771,23.1899916256,23.1899904091,23.1900040899,24.1858870899,23.1899999944,23.19,0.850036948159,0.0,15.5314470914,82.2222222222,0.0
46,23.825,0.0,521.033961507,6148.69998881,-6373.54713839,166.430648693,23.1997523182,23.1998017766,23.1994322239,23.1998113329,24.1909859036,23.1999248821,23.2,0.813007857311,0.0,15.5409220094,82.2222222222,0.0
47,23.8,0.0,521.033961507,6135.69901765,-6853.2798241,3.96609818706,23.1999849421,23.1999875482,23.1999598654,23.2000000551,24.1927190622,23.1999993285,23.2,0.887174249602,0.0,15.6531352213,82.2222222222,0.0
48,23.775,0.0,521.033961507,6102.95590233,-6276.78093247,166.613747779,23.2097580017,23.209737628,23.2094385937,23.2098157283,24.1978315803,23.2099272808,23.21,0.793845494022,0.0,15.4851349982,82.2222222222,0.0
49,23.75,0.0,521.033961507,6090.42293257,-6806.07549279,3.87765788645,23.2099854611,23.2099864795,23.2099606847,23.2100000012,24.1996971521,23.2099993562,23.21,0.881397193501,0.0,15.6659863786,82.2222222222,0.0
50,23.725,0.0,521.033961507,6058.45588331,-6231.08011368,166.626455207,23.2197602459,23.2196149724,23.2194414706,23.2198169483,24.2049319716,23.2199281051,23.22,0.786974625582,0.0,15.4844217938,82.2222222222,0.0
51,23.7,0.0,521.033961507,6046.15614188,-6760.9020888,3.84646279066,23.2199858981,23.2199842491,23.2199613479,23.2199998885,24.206938416,23.2199993694,23.22,0.874321942035,0.0,15.6654071982,82.2222222222,0.0
52,23.675,0.0,521.033961507,6040.30616451,-6517.33915981,0.106299600527,23.2199921344,23.2199923534,23.2199917742,23.2200035214,24.2092455548,23.2199999949,23.22,0.828225500151,0.0,15.5322467808,82.2222222222,0.0
53,23.65,0.0,521.033961507,6007.48020821,-6228.81234991,166.476355385,23.2297594183,23.2298930115,23.2294410845,23.2298150204,24.2142938859,23.2299274422,23.23,0.791520410656,0.0,15.5416306039,82.2222222222,0.0
54,23.625,0.0,521.033961507,5995.3927358,-6709.76709195,3.86901853136,23.229986424,23.2299903906,23.2299620516,23.2299996415,24.2160488317,23.2299993701,23.23,0.865041180452,0.0,15.6520926036,82.2222222222,0.0
55,23.6,0.0,521.033961507,5964.23712032,-6134.44724387,166.650715663,23.2397649188,23.2398068249,23.239447266,23.2398193077,24.2210556513,23.2399298077,23.24,0.773059656526,0.0,15.4872862719,82.2222222222,0.0
56,23.575,0.0,521.033961507,5952.85304522,-6665.35284466,3.78357293939,23.2399869335,23.239988931,23.2399628513,23.2399995896,24.2229179838,23.2399993963,23.24,0.859527555921,0.0,15.6639538471,82.2222222222,0.0
57,23.55,0.0,521.033961507,5922.18584201,-6091.24339435,166.661792905,23.2497670597,23.2500784102,23.2494500383,23.2498204845,24.2280462266,23.2499306038,23.25,0.766565270059,0.0,15.4866581936,82.2222222222,0.0
58,23.525,0.0,521.033961507,5911.00517176,-6622.63129891,3.75400909811,23.2499873618,23.2499947187,23.2499634918,23.2499994796,24.2300467031,23.2499994087,23.25,0.852849448765,0.0,15.6635570202,82.2222222222,0.0
59,23.5,0.0,521.033961507,5906.14906712,-6379.72794957,0.101077201056,23.2499932936,23.2499934808,23.249993129,23.2500029763,24.2323761448,23.2499999954,23.25,0.807632682606,0.0,15.5326473429,82.2222222222,0.0
