,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,hsp0,m,rh,tdis,twater,mwa
0,24.975,0.0,335.774098251,10354.9283196,-26832.5851476,-8822.43694914,23.1982507658,23.4851465737,23.6522855239,23.7834158069,24.8012574105,23.0,2.79882530198,0.0,13.8324692269,82.2222222222,0.0
1,24.95,0.0,335.774098251,11058.1794603,-4998.58609772,-2115.05217861,23.0061618761,23.0166357126,23.0890077296,23.4160122549,24.720181577,23.0,0.634863864962,1451.3072312,15.3116271367,82.2222222222,0.00956618015919
2,24.925,0.0,335.774098251,10993.1491625,-11766.2418499,31.1939083714,23.0089951404,23.0105925231,23.0112112797,23.0231536227,24.6265810466,23.01,1.11075786695,0.0,12.6535058461,82.2222222222,0.0
3,24.9,0.0,335.774098251,10953.98777,-12032.3785736,11.1668435343,23.0100094465,23.009979701,23.0099967194,23.0103635053,24.5551196103,23.01,1.5082774682,0.0,15.210550532,82.2222222222,0.0
4,24.875,0.0,335.774098251,10918.8616697,-11088.9134064,104.382860902,23.019491299,23.0196842316,23.0196773038,23.0197105706,24.4568714884,23.02,1.56001908742,0.0,16.0703529534,82.2222222222,0.0
5,24.85,0.0,335.774098251,10902.7494893,-11369.2188269,5.5243918555,23.0199931332,23.0199370501,23.0199345983,23.0199653919,24.3718594011,23.02,1.45034164978,0.0,15.3568659153,82.2222222222,0.0
6,24.825,0.0,335.774098251,10869.4723767,-11008.0426806,104.220279289,23.0294610228,23.0296853411,23.0296940735,23.0297768233,24.3124989178,23.03,1.43206632035,0.0,15.5155022374,82.2222222222,0.0
7,24.8,0.0,335.774098251,10845.7700288,-11311.4297212,6.37218962792,23.0300399209,23.029975157,23.0299720807,23.0299967359,24.2647783856,23.03,1.50108403554,0.0,15.6643683629,82.2222222222,0.0
8,24.775,0.0,335.774098251,10825.52277,-11155.2395079,0.0443739463412,23.0300439522,23.0299746877,23.0299716231,23.0299942601,24.2282268187,23.03,1.45333104429,0.0,15.5276927569,82.2222222222,0.0
9,24.75,0.0,335.774098251,10783.8027805,-10948.7141059,103.414134277,23.0394397086,23.0396910044,23.0396999997,23.0397798582,24.2025837655,23.04,1.42676025614,0.0,15.5391119001,82.2222222222,0.0
10,24.725,0.0,335.774098251,10759.4628857,-11224.7909089,6.28558539553,23.040010807,23.0399760987,23.0399736033,23.0399972583,24.1786699539,23.04,1.48528799101,0.0,15.6538067791,82.2222222222,0.0
11,24.7,0.0,335.774098251,10720.0251995,-10858.6455433,103.588082228,23.0494232364,23.0496942731,23.0497037019,23.0497826553,24.1634584484,23.05,1.40195183348,0.0,15.4796162561,82.2222222222,0.0
12,24.675,0.0,335.774098251,10696.8828838,-11158.3602701,6.97755202118,23.0500572637,23.050006467,23.0500031837,23.0500207371,24.1482784902,23.05,1.47723995976,0.0,15.6680794139,82.2222222222,0.0
