,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,hsp0,m,rh,tdis,twater,mwa
0,24.975,0.0,521.045354959,3990.75249041,-190429.309954,-7910.93140931,23.5363542539,23.2722107505,23.2326156398,23.8269976694,24.8184053852,23.0,21.0244648929,0.0,14.6989340487,82.2222222222,0.0
1,24.95,0.0,521.045354959,5479.44262047,-129693.17166,-8807.32749892,23.0209537186,23.0067697648,23.0062164281,23.5200335958,24.7369197511,23.0,13.9099500226,0.0,13.9210995784,82.2222222222,0.0
2,24.925,0.0,521.045354959,5654.42554151,10743.1177857,-165.388781275,23.0112750032,23.0102289041,23.0100660438,23.1632257409,24.6526066989,23.01,4.66176553673,0.0,25.2608803071,82.2222222222,0.0
3,24.9,0.0,521.045354959,5575.13459017,-89603.3062362,-23.5752160849,23.0098953021,23.0099146858,23.0099137861,23.0121029431,24.5821521819,23.01,11.3749354397,0.0,15.3196093377,82.2222222222,0.0
4,24.875,0.0,521.045354959,5535.47918282,-58537.1763898,167.788455428,23.0197155335,23.0197369688,23.019684353,23.0199006257,24.531690972,23.02,7.56945294845,0.0,15.4697216207,82.2222222222,0.0
5,24.85,0.0,521.045354959,5516.89054077,-63107.4182283,3.7080336429,23.0199325628,23.0199597126,23.0199653794,23.0199904471,24.4700904335,23.02,8.61972985501,0.0,15.8722016577,82.2222222222,0.0
6,24.825,0.0,521.045354959,5477.2931105,-57147.7054156,167.023165192,23.0297089951,23.0297243557,23.0296668056,23.0298324503,24.4230235274,23.03,7.25820942927,0.0,15.3427721313,82.2222222222,0.0
7,24.8,0.0,521.045354959,5449.67684116,-62302.7577808,3.81294157612,23.0299321873,23.0299559534,23.0299594678,23.0299896968,24.3814482152,23.03,8.28905486917,0.0,15.6917325293,82.2222222222,0.0
8,24.775,0.0,521.045354959,5425.21786911,-59666.9029831,-0.0180999518581,23.0299311278,23.0299527222,23.0299559918,23.0299862005,24.3483388683,23.03,7.75733939348,0.0,15.5204088377,82.2222222222,0.0
9,24.75,0.0,521.045354959,5374.14187942,-56570.5636707,167.309220531,23.0397256414,23.0397378367,23.0396825101,23.0398422054,24.3251186357,23.04,7.3567344628,0.0,15.5321346979,82.2222222222,0.0
10,24.725,0.0,521.045354959,5345.08040004,-61233.6220591,3.58216480172,23.0399353536,23.0399552465,23.0399574618,23.0399904007,24.3021429382,23.04,8.10663195075,0.0,15.6651722158,82.2222222222,0.0
11,24.7,0.0,521.045354959,5296.46104262,-55260.4941587,167.328179245,23.0497319764,23.0497418104,23.0496852212,23.0498460865,24.2872699952,23.05,7.1150249574,0.0,15.4667491703,82.2222222222,0.0
12,24.675,0.0,521.045354959,5268.49310995,-60426.5753115,3.55864959698,23.0499403332,23.0499580611,23.0499601622,23.0499930526,24.2713900729,23.05,8.00527887105,0.0,15.6801325119,82.2222222222,0.0
13,24.65,0.0,521.045354959,5223.39783778,-54499.7973575,167.329844097,23.0597380504,23.0597460639,23.0596892082,23.0598493145,24.2624282959,23.06,7.00734509568,0.0,15.4661194991,82.2222222222,0.0
14,24.625,0.0,521.045354959,5199.28238323,-59705.9191914,3.50812588491,23.0599434699,23.0599592716,23.059960985,23.0599944466,24.2516404101,23.06,7.8996063033,0.0,15.6805289516,82.2222222222,0.0
15,24.6,0.0,521.045354959,5155.52670822,-53790.605249,167.3542873,23.0697436138,23.0697500407,23.0696929337,23.0698522014,24.2468526016,23.07,6.90753073143,0.0,15.4665502033,82.2222222222,0.0
16,24.575,0.0,521.045354959,5132.19222586,-59007.0229485,3.46113095449,23.0699463021,23.0699604003,23.0699617703,23.069995655,24.2396657941,23.07,7.79638770514,0.0,15.6802767313,82.2222222222,0.0
17,24.55,0.0,521.045354959,5114.65713964,-56424.8360797,-0.0175070777045,23.0699452768,23.0699580805,23.0699594573,23.069992424,24.2341593918,23.07,7.30033282543,0.0,15.523450016,82.2222222222,0.0
18,24.525,0.0,521.045354959,5070.60557254,-53403.6675085,167.424352562,23.0797508517,23.0797554736,23.0796989899,23.0798553688,24.2332663909,23.08,6.90909388522,0.0,15.5328292849,82.2222222222,0.0
19,24.5,0.0,521.045354959,5049.20127313,-58149.9175507,3.37633784386,23.0799486011,23.0799604869,23.0799611292,23.0799961326,24.2293792409,23.08,7.65752421503,0.0,15.6654350695,82.2222222222,0.0
20,24.475,0.0,521.045354959,5008.71664073,-52248.9992594,167.429293292,23.0897554588,23.0901114121,23.0897011164,23.08985814,24.2301596307,23.09,6.69523413448,0.0,15.4700850659,82.2222222222,0.0
21,24.45,0.0,521.045354959,4988.43325541,-57502.6669517,3.35847719691,23.0899521821,23.0899709099,23.0899635511,23.0899979441,24.2278239817,23.09,7.57585750906,0.0,15.6788624259,82.2222222222,0.0
22,24.425,0.0,521.045354959,4948.78139139,-51620.9191941,167.429303845,23.0997600331,23.1000907281,23.0997045599,23.0998604301,24.2299160095,23.1,6.60579233296,0.0,15.469688757,82.2222222222,0.0
23,24.4,0.0,521.045354959,4928.93778511,-56880.1450274,3.31767918467,23.0999543863,23.0999713922,23.099964456,23.0999987618,24.2287865006,23.1,7.48289986317,0.0,15.6779652853,82.2222222222,0.0
24,24.375,0.0,521.045354959,4914.68573733,-54325.3734969,-0.02170284999,23.0999531149,23.0999620582,23.0999623751,23.0999954368,24.2284504357,23.1,7.00198881756,0.0,15.5244192808,82.2222222222,0.0
25,24.35,0.0,521.045354959,4875.07725835,-51350.1329053,167.49376274,23.1097660666,23.1095363142,23.1097103099,23.1098628449,24.2317182371,23.11,6.61938045255,0.0,15.5351971472,82.2222222222,0.0
26,24.325,0.0,521.045354959,4857.16142812,-56135.8307398,3.24248188804,23.1099560403,23.1099591158,23.1099641437,23.1099988369,24.2315284287,23.11,7.36056935436,0.0,15.6632514912,82.2222222222,0.0
