,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,hsp0,m,rh,tdis,twater,mwa
0,24.975,0.0,335.774098251,4578.0075699,-21403.924918,-8997.70898078,23.1823400616,23.462468277,23.6338840763,23.7643968376,24.7188571227,23.0,2.25282708343,0.0,13.9080448333,82.2222222222,0.0
1,24.95,0.0,335.774098251,5177.4138174,1357.65891544,-1942.4936441,23.0059414753,23.0127565269,23.0354593573,23.3622207967,24.6371235805,23.0,0.541989002164,6794.48640227,25.4519842691,82.2222222222,0.0476077945497
2,24.925,0.0,335.774098251,5117.91633416,-6174.28597401,41.3180355298,23.0096938334,23.0104634631,23.0105898178,23.0215101251,24.5396722645,23.01,0.785070614697,0.0,15.3287696255,82.2222222222,0.0
3,24.9,0.0,335.774098251,5087.11665696,-6175.70579807,2.32038839131,23.0099045712,23.009853477,23.0098436441,23.0100131843,24.4686776375,23.01,0.768818193223,0.0,15.1644500986,82.2222222222,0.0
4,24.875,0.0,335.774098251,5056.31939267,-5244.49551625,107.35903307,23.0196555532,23.0196743629,23.0196796267,23.0197502536,24.3975508568,23.02,0.715040919626,0.0,15.8562103201,82.2222222222,0.0
5,24.85,0.0,335.774098251,5041.70305459,-5555.61074376,3.02621678664,23.0199304208,23.0198904935,23.019889772,23.0199759771,24.3420172816,23.02,0.715171933058,0.0,15.4330631416,82.2222222222,0.0
6,24.825,0.0,335.774098251,5012.11147755,-5176.9278963,107.13708423,23.029662173,23.0296877313,23.0297000312,23.0298248714,24.3072380141,23.03,0.671134199541,0.0,15.4961704155,82.2222222222,0.0
7,24.8,0.0,335.774098251,4991.01558278,-5501.38961034,3.26812481687,23.0299590413,23.029919448,23.0299175205,23.0299972583,24.2781923363,23.03,0.729900606929,0.0,15.6689890667,82.2222222222,0.0
8,24.775,0.0,335.774098251,4972.40716755,-5331.8217641,-0.0242433939638,23.029956839,23.0299204503,23.0299186225,23.0299941968,24.2554525419,23.03,0.693997132616,0.0,15.5268896039,82.2222222222,0.0
9,24.75,0.0,335.774098251,4935.27360629,-5128.03918383,106.865094194,23.0396651261,23.0396970635,23.0397089728,23.0398284773,24.240349795,23.04,0.667393749717,0.0,15.5358061569,82.2222222222,0.0
10,24.725,0.0,335.774098251,4913.6584597,-5421.19771081,3.19563429193,23.0399554467,23.0399238683,23.0399220802,23.0399979294,24.2242756173,23.04,0.717064955032,0.0,15.6567183346,82.2222222222,0.0
11,24.7,0.0,335.774098251,4878.55616304,-5037.96624901,106.883936782,23.0496663883,23.049703667,23.049715839,23.04983179,24.2149046,23.05,0.649673728138,0.0,15.4767113906,82.2222222222,0.0
12,24.675,0.0,335.774098251,4857.99053321,-5361.94628327,3.19434841292,23.0499566203,23.0499289923,23.049927254,23.0500000933,24.2038325441,23.05,0.709553666095,0.0,15.6702707813,82.2222222222,0.0
13,24.65,0.0,335.774098251,4825.59317256,-4982.45823581,106.892796721,23.0596693134,23.0597101055,23.0597222943,23.0598347556,24.1985730225,23.06,0.641610607282,0.0,15.4761856253,82.2222222222,0.0
14,24.625,0.0,335.774098251,4807.95283148,-5309.47492379,3.158316002,23.0599562996,23.0599323317,23.0599307008,23.0600010375,24.1909436801,23.06,0.701683446099,0.0,15.6706645964,82.2222222222,0.0
15,24.6,0.0,335.774098251,4776.60782395,-4930.88486745,106.917916812,23.0696722255,23.0697160428,23.0697282511,23.0698374115,24.1884019798,23.07,0.634154671933,0.0,15.4765799929,82.2222222222,0.0
16,24.575,0.0,335.774098251,4759.62026655,-5258.75904857,3.124711386,23.069956186,23.0699353879,23.0699338593,23.070001833,24.1830682156,23.07,0.694009439356,0.0,15.6704402174,82.2222222222,0.0
17,24.55,0.0,335.774098251,4746.81300417,-5094.9817416,-0.0186981896614,23.0699544867,23.0699352478,23.0699338894,23.0699983077,24.1788511403,23.07,0.659730148397,0.0,15.5284273126,82.2222222222,0.0
18,24.525,0.0,335.774098251,4715.32509975,-4896.85148541,106.981254512,23.0796774386,23.0797238893,23.0797358871,23.0798405102,24.1786012853,23.08,0.633937303986,0.0,15.536558651,82.2222222222,0.0
19,24.5,0.0,335.774098251,4699.76417549,-5196.67288104,3.04978436649,23.0799546263,23.0799380699,23.0799367423,23.0800017378,24.1751821727,23.08,0.683638765777,0.0,15.6570096856,82.2222222222,0.0
20,24.475,0.0,335.774098251,4670.83309908,-4818.87039708,106.989319152,23.0896792699,23.0897289111,23.0897411504,23.0898429206,24.1759790528,23.09,0.618279730399,0.0,15.4787871551,82.2222222222,0.0
21,24.45,0.0,335.774098251,4656.09872478,-5149.56442941,3.05191457243,23.0899566786,23.0899420062,23.0899406956,23.0900033186,24.173560393,23.09,0.677720184521,0.0,15.6701430256,82.2222222222,0.0
22,24.425,0.0,335.774098251,4627.75928933,-4773.3786629,106.992086516,23.0996825348,23.099733932,23.0997461767,23.0998450894,24.1752133192,23.1,0.611559534918,0.0,15.4778706592,82.2222222222,0.0
23,24.4,0.0,335.774098251,4613.32662549,-5104.44637902,3.02278253222,23.0999573227,23.0999445362,23.0999433,23.1000038653,24.1735886481,23.1,0.670860524099,0.0,15.6700149781,82.2222222222,0.0
24,24.375,0.0,335.774098251,4602.8911255,-4942.62382446,-0.0163653602814,23.099955835,23.0999439243,23.0999428452,23.1000001878,24.1725129942,23.1,0.637524494788,0.0,15.5293833134,82.2222222222,0.0
25,24.35,0.0,335.774098251,4574.55062912,-4747.7478036,107.048179841,23.1096880744,23.1097405731,23.1097525965,23.1098475005,24.1748268287,23.11,0.612224813054,0.0,15.5371156528,82.2222222222,0.0
26,24.325,0.0,335.774098251,4561.46164447,-5050.41623223,2.95479805616,23.1099567177,23.1099465872,23.1099455141,23.11000347,24.1737479053,23.11,0.661693674969,0.0,15.6568828515,82.2222222222,0.0
27,24.3,0.0,335.774098251,4534.79637711,-4674.42645697,107.051757754,23.1196902494,23.1197449945,23.1197572372,23.1198496063,24.1764529146,23.12,0.597459298039,0.0,15.4798506416,82.2222222222,0.0
28,24.275,0.0,335.774098251,4521.90306266,-5007.00045332,3.26489294327,23.119987115,23.1199718957,23.1199695713,23.1200214962,24.1758415326,23.12,0.65620490525,0.0,15.6692779703,82.2222222222,0.0
29,24.25,0.0,335.774098251,4495.49495453,-4633.74287366,106.743892524,23.1296936041,23.1297493741,23.1297616149,23.1298514272,24.1789425852,23.13,0.591470185145,0.0,15.4797948361,82.2222222222,0.0
30,24.225,0.0,335.774098251,4482.7928923,-4965.24003095,3.19413718467,23.1299840645,23.1299710774,23.1299690172,23.1300197465,24.1787419587,23.13,0.649790699757,0.0,15.6686118153,82.2222222222,0.0
31,24.2,0.0,335.774098251,4474.76928995,-4807.31199544,-0.294281127906,23.129957303,23.1299503895,23.1299496154,23.1300009175,24.1789110646,23.13,0.617727937778,0.0,15.5309759985,82.2222222222,0.0
32,24.175,0.0,335.774098251,4448.41788704,-4612.73040282,107.364450406,23.1397214947,23.1397725529,23.1397835375,23.1398665244,24.1822632818,23.14,0.592431528902,0.0,15.5370408799,82.2222222222,0.0
33,24.15,0.0,335.774098251,4436.79608917,-4918.52359456,2.85500156465,23.1399811495,23.1399706736,23.1399688995,23.1400177637,24.1822263426,23.14,0.64177944867,0.0,15.6567175788,82.2222222222,0.0
34,24.125,0.0,335.774098251,4411.60149517,-4543.02845299,107.138531271,23.1497257423,23.1497780838,23.1497891821,23.1498696186,24.1856932812,23.15,0.578528428843,0.0,15.4821551215,82.2222222222,0.0
35,24.1,0.0,335.774098251,4400.32469458,-4878.62087692,2.77743033946,23.1499783667,23.1499699095,23.1499684059,23.1500161498,24.185917569,23.15,0.636640762686,0.0,15.6676784475,82.2222222222,0.0
36,24.075,0.0,335.774098251,4375.33015911,-4504.45311073,107.156695174,23.1597255622,23.1597796158,23.1597909163,23.1598696324,24.1896400095,23.16,0.572847254898,0.0,15.4820168846,82.2222222222,0.0
37,24.05,0.0,335.774098251,4364.58440581,-4840.72399669,2.7539351222,23.1599760741,23.1599693747,23.1599681112,23.1600147022,24.1901725062,23.16,0.630766840312,0.0,15.6667917638,82.2222222222,0.0
38,24.025,0.0,335.774098251,4357.66286407,-4681.18483421,0.0745970587679,23.1599828601,23.159974471,23.1599729456,23.1600156497,24.1910700746,23.16,0.599130463171,0.0,15.5311810736,82.2222222222,0.0
39,24.0,0.0,335.774098251,4332.43059417,-4490.21316424,107.056633911,23.1697222251,23.1697783699,23.169789919,23.1698667032,24.1949222503,23.17,0.574595858632,0.0,15.5397371255,82.2222222222,0.0
40,23.975,0.0,335.774098251,4321.99728264,-4795.7518657,2.76618546214,23.1699738844,23.1699691824,23.1699681898,23.1700129724,24.195508262,23.17,0.623006190539,0.0,15.6540682877,82.2222222222,0.0
41,23.95,0.0,335.774098251,4297.91786571,-4421.62103648,107.198433122,23.1797271134,23.179784057,23.1797956833,23.1798699943,24.1994090894,23.18,0.561061410341,0.0,15.4851274935,82.2222222222,0.0
