,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,t6,hsp0,m,rh,tdis,twater,mwa
0,24.975,0.0,4203.26545894,21161.6259312,-83983.8817401,-31993.6936233,23.7643968376,23.462468277,23.1890615416,23.6338840763,23.1823400616,24.7188571227,23.0,8.32041274538,0.0,13.9080448333,82.2222222222,0.0
1,24.95,0.0,4149.681776,27629.0079985,-94515.4417071,-54665.6492545,23.3622207967,23.0127565269,23.0049615782,23.0354593573,23.0059414753,24.6371235805,23.0,9.0487674023,0.0,13.1606370341,82.2222222222,0.0
2,24.925,0.0,4149.681776,33758.7934845,-69702.8704512,-46361.8852269,23.0215101251,23.0104634631,23.0097058019,23.0105898178,23.0096938334,24.5396722645,23.01,8.85085236629,0.0,15.3287696255,82.2222222222,0.0
3,24.9,0.0,4149.681776,34288.9415891,-5460.57826397,-1564.43279135,23.0100131843,23.009853477,23.0099011249,23.0098436441,23.0099045712,24.4686776375,23.01,3.03398355652,18892.8135853,21.2518231977,82.2222222222,0.12431459745
4,24.875,0.0,4149.681776,33815.0492429,-49163.5361355,1324.87114649,23.0197502536,23.0196743629,23.0197063795,23.0196796267,23.0196555532,24.3975508568,23.02,6.70440399918,0.0,15.8562103201,82.2222222222,0.0
5,24.85,0.0,4149.681776,33748.214214,-39908.5901843,30.7119548012,23.0199759771,23.0198904935,23.0199281352,23.019889772,23.0199304208,24.3420172816,23.02,5.13862194849,0.0,15.4330631416,82.2222222222,0.0
6,24.825,0.0,4149.681776,33543.911887,-34831.1628852,1339.95189482,23.0298248714,23.0296877313,23.029713291,23.0297000312,23.029662173,24.3072380141,23.03,4.51655941646,0.0,15.4961704155,82.2222222222,0.0
7,24.8,0.0,4149.681776,33406.1936894,-39065.8816856,23.4526223517,23.0299972583,23.029919448,23.0299527544,23.0299175205,23.0299590413,24.2781923363,23.03,5.18448507216,0.0,15.6689890667,82.2222222222,0.0
8,24.775,0.0,4149.681776,33281.8367072,-37012.9705182,-0.416488538312,23.0299941968,23.0299204503,23.0299507146,23.0299186225,23.029956839,24.2554525419,23.03,4.81902124328,0.0,15.5268896039,82.2222222222,0.0
9,24.75,0.0,4149.681776,32990.5741619,-34679.2283945,1337.78510272,23.0398284773,23.0396970635,23.0397171761,23.0397089728,23.0396651261,24.240349795,23.04,4.51462487523,0.0,15.5358061569,82.2222222222,0.0
10,24.725,0.0,4149.681776,32842.033924,-38510.2908843,23.0502699529,23.0399979294,23.0399238683,23.0399513537,23.0399220802,23.0399554467,24.2242756173,23.04,5.09534824926,0.0,15.6567183346,82.2222222222,0.0
11,24.7,0.0,4149.681776,32562.1270763,-33840.4431162,1337.59400285,23.04983179,23.049703667,23.0497202899,23.049715839,23.0496663883,24.2149046,23.05,4.3652370929,0.0,15.4767113906,82.2222222222,0.0
12,24.675,0.0,4149.681776,32414.5948033,-38075.1222682,22.8917103598,23.0500000933,23.0499289923,23.0499532255,23.049927254,23.0499566203,24.2038325441,23.05,5.040194334,0.0,15.6702707813,82.2222222222,0.0
13,24.65,0.0,4149.681776,32162.24303,-33440.5019684,1337.56929438,23.0598347556,23.0597101055,23.0597239692,23.0597222943,23.0596693134,24.1985730225,23.06,4.30765578959,0.0,15.4761856253,82.2222222222,0.0
14,24.625,0.0,4149.681776,32045.1880247,-37706.2654402,22.6145204972,23.0600010375,23.0599323317,23.0599537159,23.0599307008,23.0599562996,24.1909436801,23.06,4.98487255802,0.0,15.6706645964,82.2222222222,0.0
15,24.6,0.0,4149.681776,31801.1940284,-33078.9696678,1337.66845087,23.0698374115,23.0697160428,23.0697275179,23.0697282511,23.0696722255,24.1884019798,23.07,4.25568703513,0.0,15.4765799929,82.2222222222,0.0
16,24.575,0.0,4149.681776,31685.6376356,-37347.40463,22.3592751688,23.070001833,23.0699353879,23.0699542774,23.0699338593,23.069956186,24.1830682156,23.07,4.93059860947,0.0,15.6704402174,82.2222222222,0.0
17,24.55,0.0,4149.681776,31602.1558211,-35332.9537915,-0.479392054735,23.0699983077,23.0699352478,23.0699524216,23.0699338894,23.0699544867,24.1788511403,23.07,4.57681318301,0.0,15.5284273126,82.2222222222,0.0
18,24.525,0.0,4149.681776,31351.144065,-33039.2390686,1338.28322744,23.0798405102,23.0797238893,23.079732583,23.0797358871,23.0796774386,24.1786012853,23.08,4.27872552574,0.0,15.536558651,82.2222222222,0.0
19,24.5,0.0,4149.681776,31249.2507099,-36920.2455764,21.9220200809,23.0800017378,23.0799380699,23.0799537739,23.0799367423,23.0799546263,24.1751821727,23.08,4.85880587394,0.0,15.6570096856,82.2222222222,0.0
20,24.475,0.0,4149.681776,31024.1371294,-32300.2614778,1338.0111442,23.0898429206,23.0897289111,23.0897356779,23.0897411504,23.0896792699,24.1759790528,23.09,4.14576460254,0.0,15.4787871551,82.2222222222,0.0
21,24.45,0.0,4149.681776,30926.5413428,-36589.9755556,21.8070450997,23.0900033186,23.0899420062,23.0899559372,23.0899406956,23.0899566786,24.173560393,23.09,4.81735861729,0.0,15.6701430256,82.2222222222,0.0
22,24.425,0.0,4149.681776,30702.9276792,-31979.1154505,1337.95776794,23.0998450894,23.099733932,23.0997392147,23.0997461767,23.0996825348,24.1752133192,23.1,4.09865121506,0.0,15.4778706592,82.2222222222,0.0
23,24.4,0.0,4149.681776,30606.4476395,-36270.2746342,21.5843642935,23.1000038653,23.0999445362,23.0999568828,23.0999433,23.0999573227,24.1735886481,23.1,4.7687401093,0.0,15.6700149781,82.2222222222,0.0
24,24.375,0.0,4149.681776,30541.5761429,-34271.44279,-0.499911283711,23.1000001878,23.0999439243,23.0999551404,23.0999428452,23.099955835,24.1725129942,23.1,4.4222321827,0.0,15.5293833134,82.2222222222,0.0
25,24.35,0.0,4149.681776,30318.5327059,-32006.42881,1338.53371443,23.1098475005,23.1097405731,23.1097441673,23.1097525965,23.1096880744,24.1748268287,23.11,4.12880493017,0.0,15.5371156528,82.2222222222,0.0
26,24.325,0.0,4149.681776,30234.0273549,-35906.6710995,21.2000468924,23.11000347,23.1099465872,23.1099568906,23.1099455141,23.1099567177,24.1737479053,23.11,4.70625672653,0.0,15.6568828515,82.2222222222,0.0
27,24.3,0.0,4149.681776,30023.8364154,-31298.636314,1338.2405934,23.1198496063,23.1197449945,23.1197473404,23.1197572372,23.1196902494,24.1764529146,23.12,4.00193436439,0.0,15.4798506416,82.2222222222,0.0
28,24.275,0.0,4149.681776,29939.6422111,-35600.9259925,23.3617056394,23.1200214962,23.1199718957,23.1199816851,23.1199695713,23.119987115,24.1758415326,23.12,4.66762810308,0.0,15.6692779703,82.2222222222,0.0
29,24.25,0.0,4149.681776,29730.9431154,-31012.7387496,1335.90647878,23.1298514272,23.1297493741,23.129731477,23.1297616149,23.1296936041,24.1789425852,23.13,3.960116047,0.0,15.4797948361,82.2222222222,0.0
30,24.225,0.0,4149.681776,29647.683786,-35306.4341363,22.874161984,23.1300197465,23.1299710774,23.1299792876,23.1299690172,23.1299840645,24.1787419587,23.13,4.62234125687,0.0,15.6686118153,82.2222222222,0.0
31,24.2,0.0,4149.681776,29601.822904,-33337.7532319,-2.55872442271,23.1300009175,23.1299503895,23.1299577273,23.1299496154,23.129957303,24.1789110646,23.13,4.2855395343,0.0,15.5309759985,82.2222222222,0.0
