,prediction,real
0,9693.30354927,16660.8329428
1,23964.0467364,21150.3953177
2,54317.9561645,49120.1828324
3,88010.1204142,84934.5036291
4,115591.989183,116149.026298
5,114255.730084,123735.471914
6,48676.2172127,62156.3084369
7,15902.7743908,20674.5255868
8,1289.97555161,0.0
9,1377.21827917,0.0
10,1440.53779646,0.0
11,1489.66112305,0.0
12,1514.48567876,0.0
13,1539.23512235,0.0
14,1525.11404376,0.0
15,1438.88532982,0.0
16,1326.36737382,0.0
17,1275.4038003,0.0
18,1250.20368398,0.0
19,1214.37520267,0.0
20,1203.29616494,0.0
21,1178.09604863,0.0
22,4983.59750934,3813.27972624
23,24220.7637408,18216.7650633
24,67354.5808086,58673.1022235
25,130716.876561,123496.451111
26,209355.52826,200746.956554
27,286417.271958,280517.923533
28,331359.04001,328241.278174
29,327603.371282,333496.684324
30,205668.058206,231090.793
31,86594.6256629,111903.151559
32,1313.61455558,5528.25540829
33,1239.95087958,0.0
34,1289.14931828,0.0
35,1327.64427987,0.0
36,1352.01816286,0.0
37,1365.76368085,0.0
38,1379.05852611,0.0
39,1379.05852611,0.0
40,1379.05852611,0.0
41,1351.56749014,0.0
42,1299.77768329,0.0
43,1225.00356767,0.0
44,1100.65545275,0.0
45,3490.36631904,8671.16198108
46,16890.4348448,13946.6990092
47,49410.810089,41126.5757573
48,125165.803537,112774.570871
49,208918.782398,202559.327174
50,281521.707586,275156.61267
51,342908.492814,336043.209657
52,383792.831432,377167.524507
53,378877.051031,381099.571405
54,249367.194645,274062.279898
55,124186.690471,150350.488694
56,1341.98978076,9732.73275687
57,1201.455918,0.0
58,1251.0299173,0.0
59,1289.14931828,0.0
60,1313.89876188,0.0
61,1352.46883558,0.0
62,1365.31300813,0.0
63,1377.21827917,0.0
64,1376.39204585,0.0
65,1352.01816286,0.0
66,1313.07252856,0.0
67,1186.05793337,0.0
68,1049.2412065,0.0
69,3886.02807507,11844.0631264
70,20105.9988961,16095.6067803
71,63968.2694229,55300.3041281
72,143092.45623,130928.062574
73,232736.456218,224726.161059
74,310726.885954,303309.264709
75,377540.70309,367828.921718
76,418564.22124,410343.026061
77,405637.17188,405755.092768
78,273183.95867,297425.424981
79,143267.216502,169797.733445
80,2332.26820601,18392.1731482
81,1289.14931828,0.0
82,1327.64427987,0.0
83,1365.76368085,0.0
84,1379.05852611,0.0
85,1365.31300813,0.0
86,1365.76368085,0.0
87,1379.05852611,0.0
88,1351.56749014,0.0
89,1313.52320128,0.0
90,1277.24404724,0.0
91,1213.92452995,0.0
92,1125.85556906,0.0
93,2671.37465612,6013.81660183
94,14615.8838481,12248.9734143
95,49166.7532354,40149.530884
96,122452.635242,112368.03493
97,204932.732005,196005.281102
98,293396.66167,284968.284662
99,359875.580681,351364.500313
100,395083.519634,388757.478943
101,394244.490701,393468.044937
102,287373.169438,309665.518531
103,136166.651679,165165.694298
104,1455.92396208,9812.9669543
105,1265.15099589,0.0
106,1352.46883558,0.0
107,1365.31300813,0.0
108,1390.96379716,0.0
109,1403.43240911,0.0
110,1379.05852611,0.0
111,1390.51312444,0.0
112,1401.59216216,0.0
113,1390.13756384,0.0
114,1340.11289181,0.0
115,1213.09829662,0.0
116,1144.03270214,0.0
