,prediction,real
0,62617.2462309,62627.423623
1,43471.9552386,43488.3644131
2,31398.3189158,31388.2450368
3,23974.6025425,24012.5655851
4,21760.1176338,21791.8907927
5,21727.498686,21760.0834607
6,21727.498686,21760.0834607
7,21727.498686,21760.0834607
8,21727.498686,21760.0834607
9,21840.0849596,21870.0213488
10,26888.6254809,26833.9329459
11,34565.2913373,34420.3551168
12,46831.4216684,46732.1907941
13,59910.8366542,59835.2351406
14,77755.4615957,77841.743111
15,86480.0540738,86568.482952
16,104840.281076,105047.035638
17,127559.640394,127632.672073
18,142986.224279,142914.995284
19,149898.063433,149712.014997
20,137655.59033,137594.228278
21,115752.143952,115724.826324
22,82434.4490704,82635.7339026
23,56780.8165303,56725.3617688
24,41723.8009292,41697.4332052
25,29192.6841258,29266.2664516
26,23381.8156388,23408.3577846
27,21746.5355923,21778.6186578
28,21727.498686,21760.0834607
29,21727.498686,21760.0834607
30,21727.498686,21760.0834607
31,21727.498686,21760.0834607
32,21727.498686,21760.0834607
33,21727.498686,21760.0834607
34,24042.576955,24028.5948276
35,29934.0719783,29808.6260378
36,37065.0088722,36866.152444
37,43134.5490695,42894.9871876
38,51378.9785747,51244.302466
39,65747.1535838,65827.2414534
40,88400.1454074,88592.535269
41,114273.653928,114419.163959
42,132602.419442,132577.198852
43,134741.024013,134663.858707
44,114839.941648,114900.996667
45,89907.5517547,89883.9820165
46,68436.2526982,68360.6772496
47,52353.7477823,52269.4807193
48,39261.5478338,39245.3729579
49,28660.6987196,28707.4321174
50,22759.5916655,22787.9833886
51,21728.7842759,21761.3305923
