,p0,m0,p1,m1,p2,m2,p3,m3
0,32737.8766243,17.2733084314,271929.271188,146.678489005,31343.9120712,16.5378184683,8416.23371281,5.89851066933
1,20564.8337075,13.2408422503,176932.165866,114.725460979,19958.5057655,12.7761409208,8416.23371281,5.89851066933
2,16200.2015002,11.544922323,122993.278115,93.0807294621,15703.3155062,11.1323273927,8416.23371281,5.89851066933
3,7743.07178484,7.50252661084,72659.3272347,68.4775003083,6659.34650818,6.7385366287,3974.80434231,2.78573844568
4,20046.4244758,13.0484452317,55441.1200585,58.3102060861,12325.2262793,9.67802113083,2324.86026063,1.62937645507
5,13755.331089,10.5041927179,108249.746986,86.4502377943,9151.73021432,8.13449125654,4908.7075447,3.44026375848
6,12220.3513682,9.80739890789,64592.8436371,63.8713450302,7584.46791477,7.28098485601,3413.70865177,2.39249497953
7,14387.8370049,10.7809584461,84297.6254732,74.7264764037,9349.47178612,8.23722083124,3991.27809869,2.79728406467
8,13104.2234349,10.2131846716,74018.5072264,69.2299319342,8337.67156967,7.7003924622,3714.71016891,2.60345165219
9,12160.5443374,9.77946600667,66363.6130252,64.9042634943,7551.06887656,7.26195209408,3401.53783596,2.383965073
10,14047.8182623,10.6328779996,81399.7684379,73.2096913918,9063.39031952,8.08826795472,3929.96663824,2.75431397663
11,11630.8223987,9.52926653946,62538.0686221,62.6562251158,7149.19674512,7.02981458654,3294.75139888,2.30912388395
12,13848.0342357,10.5451124175,79817.0673897,72.3708028231,8889.97936771,7.99692505084,3878.47089863,2.71822322869
13,11432.5315344,9.43427495517,61056.3492645,61.7685033865,6986.31691956,6.93401653865,3247.20973439,2.27580434639
14,13633.7515571,10.450336637,78207.1522448,71.509607582,8715.46941312,7.9041718666,3833.44047922,2.68666369525
15,11244.6836231,9.34358885644,59721.6576312,60.9603034327,6839.11357045,6.8465463866,3203.48736788,2.24516156078
16,13433.5880833,10.3611929276,76646.1367856,70.6667497118,8546.12531525,7.81334347877,3789.41673808,2.65580969146
17,12218.052836,9.80632653089,67380.1340612,65.49147108,7609.931755,7.29546968413,3516.88675832,2.46480727302
18,11327.9203069,9.38385729019,60203.358098,61.252942986,6873.37414241,6.86698158985,3209.07533322,2.24907788182
19,13152.2447356,10.2348686885,74587.3615899,69.542954409,8323.21403622,7.69251064269,3739.76160196,2.62100892901
20,10863.0554292,9.15719169468,57112.8124693,59.3560517588,6530.98279311,6.66058397814,3111.66224376,2.18080599594
21,13006.9945415,10.1691700184,73433.7977584,68.9070280541,8194.67809749,7.62215726275,3698.47926116,2.59207623347
22,10696.1754907,9.07474235481,56045.7111956,58.6901140801,6401.8527862,6.58144720005,3072.02344466,2.15302517528
23,12824.4330844,10.0861197098,72067.1193601,68.1476319825,8047.22713228,7.5408213461,3658.48667053,2.56404745829
24,11658.9309996,9.54267193278,63255.7103,63.0826797814,7157.47020263,7.03465356688,3388.00082378,2.37447766884
25,10800.9765969,9.1265890188,56670.3460647,59.0806300115,6453.59329283,6.61324406023,3084.17396811,2.16154085993
26,12579.1706346,9.97369370245,70271.7188767,67.1398550882,7857.33639235,7.43505557363,3615.048469,2.53360382948
27,10366.5337974,8.91012663127,53885.3524585,57.3236903197,6137.69775613,6.4172235306,2989.61403924,2.09526860938
28,12449.1509677,9.91368897315,69255.5417911,66.5642004565,7741.13606078,7.36975181627,3577.39812166,2.50721661365
29,10215.8946229,8.83410249263,52936.1385664,56.7153052228,6030.03976899,6.34935655478,2952.52755529,2.06927657675
30,12283.7160899,9.83692550096,68034.6810156,65.8674172264,7607.28671843,7.29396612644,3540.18232412,2.48113395169
31,11165.0656059,9.30494328697,59846.8683158,61.0364752815,6767.07789136,6.80342465248,3270.86534466,2.29238336194
32,10331.661319,8.8925726128,53631.9596061,57.1617707121,6085.99617174,6.38470055686,2969.42827143,2.08112143014
33,12065.0224338,9.73472215935,66505.2991888,64.9863582677,7447.35268256,7.20259924594,3500.70973105,2.45346961639
34,9920.95892943,8.68374999291,51030.7954404,55.4786500196,5814.20206768,6.2115808153,2877.16742447,2.01646048931
35,11946.2393673,9.67885635863,65527.6913832,64.4182635844,7342.05017683,7.14194672676,3464.66140949,2.42820517904
36,9782.92008369,8.61267593194,50196.5572652,54.9304678529,5719.2283524,6.15020652922,2842.50637081,1.99216831757
37,11795.6410684,9.60766147003,64422.5009101,63.7712957966,7219.30529242,7.07073813649,3429.79532996,2.40376931508
38,10715.7387688,9.084438206,56963.3866744,59.2631495768,6410.61653834,6.5868412635,3161.70789352,2.21588044957
39,9903.36291775,8.67471545176,50864.8417888,55.369933772,5786.61882443,6.19380404228,2862.16116445,2.00594336397
40,11593.9962547,9.51168120541,63113.8938772,62.9985840953,7068.53178602,6.98249890768,3392.46361036,2.37760540924
