,p,to,q
1,306568.557693,24.95,1839305.01512
2,324273.832408,24.925,1565241.47845
3,152185.847188,24.9,890764.901293
4,139155.484505,24.875,830125.668276
5,158962.894889,24.85,1085240.28237
6,139327.448644,24.825,844511.706567
7,145151.140547,24.8,954935.575414
8,140912.524379,24.775,893625.413259
9,133852.733345,24.75,832330.498283
10,141089.125897,24.725,928488.235065
11,130863.359168,24.7,804312.858302
12,137838.766658,24.675,912682.187378
13,128526.056176,24.65,790356.939676
14,135525.115622,24.625,899195.011792
15,126113.963278,24.6,778238.398047
16,133384.61247,24.575,886913.185996
17,129739.021061,24.55,832216.407584
18,123860.503327,24.525,775669.75912
19,130796.693442,24.5,872481.153659
20,121832.801836,24.475,755173.414443
21,128855.490446,24.45,862757.365419
22,120264.798749,24.425,746256.707448
23,127138.715878,24.4,852972.43104
24,123781.792166,24.375,799853.448106
25,118525.470665,24.35,746535.27842
26,125075.12229,24.325,841394.177435
27,116709.830911,24.3,728141.757759
28,123250.337232,24.275,833101.031996
29,115407.826494,24.25,720431.123289
30,121828.457846,24.225,824510.970996
31,118948.401938,24.2,773667.057539
32,113935.475564,24.175,722100.411936
33,120128.748632,24.15,814825.01083
34,113352.865111,24.125,704744.680308
35,116919.760302,24.1,806971.87739
36,112766.177051,24.075,697867.36934
37,115896.12049,24.05,799143.806761
38,114694.720645,24.025,751172.597683
39,111949.948343,24.0,700068.23581
40,114603.638461,23.975,790678.187327
41,111406.519492,23.95,683399.080019
42,113685.661648,23.925,783904.622567
43,110881.033114,23.9,676906.734939
44,112758.288873,23.875,777247.89988
45,110363.691596,23.85,730191.472657
46,110092.656623,23.825,679924.379622
47,111490.981542,23.8,769721.508783
48,109581.523439,23.775,664244.451354
49,110565.30934,23.75,763480.784256
50,109082.952485,23.725,658732.236178
51,109710.4866,23.7,757090.97219
52,108807.520981,23.675,710695.849623
53,108774.864642,23.65,661761.862996
54,109142.056801,23.625,750024.784574
55,108758.434469,23.6,647372.735389
56,108759.343153,23.575,744217.543352
57,108756.21104,23.55,642140.250544
58,108755.99106,23.525,738172.098832
59,108755.910135,23.5,692260.447834
60,108755.880364,23.5016666667,645487.723838
61,108755.869411,23.5033333333,731707.938993
62,108755.865382,23.505,631495.696278
63,108755.8639,23.5066666667,726095.259658
64,108755.863355,23.5083333333,626497.23872
65,108755.863154,23.51,720395.17748
66,108755.863081,23.5116666667,676205.315705
67,108755.863053,23.5133333333,630098.14096
68,108755.863043,23.515,714303.531565
69,108755.86304,23.5166666667,616376.80909
70,108755.863038,23.5183333333,708973.726531
71,108755.863038,23.52,666028.519411
72,108755.863038,23.5216666667,620094.527734
73,108755.863038,23.5233333333,702854.22861
74,108761.581285,23.525,606514.866867
75,108802.98139,23.5266666667,697687.490007
76,108884.481395,23.5283333333,601826.190898
77,108990.881529,23.53,692735.187375
78,109115.507916,23.5316666667,651345.319211
79,109253.948332,23.5333333333,605706.936981
80,109402.930646,23.535,687662.962683
81,109559.958124,23.5366666667,592363.300409
82,109723.127257,23.5383333333,682965.19747
83,109890.98188,23.54,641812.243906
84,110062.397304,23.5416666667,596327.66193
85,110236.521716,23.5433333333,678031.891111
86,110412.710246,23.545,583095.040248
87,110590.455064,23.5466666667,673406.974157
88,110769.375232,23.5483333333,632428.875311
89,110949.183223,23.55,587120.91954
90,111129.656139,23.5516666667,668570.064637
91,111310.617901,23.5533333333,574005.22451
92,111491.94169,23.555,664047.418715
93,111673.529453,23.5566666667,623260.09632
94,111855.300012,23.5583333333,578143.64349
95,112037.207549,23.56,659365.380881
96,112219.200139,23.5616666667,566440.78441
97,112401.240726,23.5633333333,654754.896731
98,112583.308659,23.565,614345.060337
99,112765.386026,23.5666666667,569819.848857
100,112947.454423,23.5683333333,650363.216876
101,113129.501428,23.57,559295.82286
102,113311.517617,23.5716666667,645949.7854
103,113493.496479,23.5733333333,605422.504893
104,113675.43751,23.575,562727.844107
105,113857.332629,23.5766666667,641498.910533
106,114039.175982,23.5783333333,552377.784337
107,114220.971567,23.58,637166.925129
108,114402.715655,23.5816666667,596800.362563
109,114584.401182,23.5833333333,555824.06768
110,114766.032621,23.585,632823.961174
111,114947.605034,23.5866666667,545595.722829
112,115129.120381,23.5883333333,628434.663581
113,115310.580346,23.59,588337.248001
114,115491.975528,23.5916666667,549070.069053
115,115673.307151,23.5933333333,624228.037491
116,115854.579984,23.595,584404.10592
117,116035.793974,23.5966666667,545680.878496
118,116216.940506,23.5983333333,619828.690602
119,116398.026775,23.6,535531.301207
120,116552.190531,23.6033333333,615447.14206
121,116672.85883,23.6066666667,577107.956614
122,116773.626191,23.61,539144.251473
123,116860.25492,23.6133333333,611381.543858
124,116936.410969,23.6166666667,573566.433687
125,117004.763275,23.62,535931.290389
126,117067.284721,23.6233333333,607432.561673
127,117125.443185,23.6266666667,525924.60251
128,117180.345783,23.63,603603.939378
129,117232.827997,23.6333333333,567097.110029
130,117283.501947,23.6366666667,529630.924279
131,117332.822412,23.64,599581.330231
132,117381.136656,23.6433333333,563889.973089
133,117428.694266,23.6466666667,526491.445955
134,117475.703495,23.65,595497.261597
135,117522.303255,23.6533333333,516525.903673
136,117568.599864,23.6566666667,591712.131259
137,117614.669934,23.66,557556.944206
138,117660.569173,23.6633333333,520322.849831
139,117706.345475,23.6666666667,588284.079468
140,117752.031622,23.67,554452.470785
141,117797.654897,23.6733333333,517230.765257
142,117843.233345,23.6766666667,584872.699749
143,117888.781456,23.68,551331.840321
144,117934.306631,23.6833333333,514171.044429
145,117979.814993,23.6866666667,581373.889896
146,118025.312375,23.69,548222.379134
147,118070.81422,23.6933333333,511157.222818
148,118116.318304,23.6966666667,578023.188143
149,118161.821457,23.7,501988.14995
150,118207.31982,23.7033333333,574750.930007
151,118252.828569,23.7066666667,542133.897575
152,118298.342964,23.71,505606.100453
153,118343.860662,23.7133333333,571854.15726
154,118389.381856,23.7166666667,539139.86962
155,118434.908668,23.72,502890.9526
156,118480.451865,23.7233333333,568831.55043
157,118525.997979,23.7266666667,536180.624317
158,118571.550909,23.73,500193.787505
159,118617.118415,23.7333333333,565851.254196
160,118662.699846,23.7366666667,533220.654552
161,118708.293656,23.74,497522.126215
162,118753.891647,23.7433333333,562895.394224
163,118799.498762,23.7466666667,530271.871162
164,118845.120763,23.75,494868.711025
165,118890.747973,23.7533333333,559925.325724
166,118936.381255,23.7566666667,527368.67744
167,118982.024513,23.76,492244.059066
168,119027.669546,23.7633333333,556957.032443
169,119073.323242,23.7666666667,524484.579898
