,prediction,real
0,7156.09802184,7164.75352384
1,4997.10472692,5011.75701904
2,4030.96443896,4033.17463253
3,3944.32573238,3946.61007244
4,3944.32573238,3946.61007244
5,3944.32573238,3946.61007244
6,3944.32573238,3946.61007244
7,3944.32573238,3946.61007244
8,3944.32573238,3946.61007244
9,3955.37372685,3957.51804655
10,4558.75579082,4555.93738079
11,5322.72617892,5310.66716547
12,6155.96081786,6142.19136378
13,6831.76230426,6814.99770537
14,8019.05283169,8013.28206235
15,8954.02775843,8953.18982023
16,11009.2020119,11031.5810754
17,13704.8114103,13716.281435
18,15698.7238774,15697.4398574
19,16767.3427857,16753.1541718
20,15759.9350442,15753.7334605
21,13642.2468288,13639.2525997
22,10068.4863707,10092.309756
23,7137.03495433,7140.40527876
24,5372.24114732,5376.67402615
25,4264.44146204,4264.49261587
26,3964.99585884,3967.03365255
27,3944.32573238,3946.61007244
28,3944.32573238,3946.61007244
29,3944.32573238,3946.61007244
30,3944.32573238,3946.61007244
31,3944.32573238,3946.61007244
32,3944.32573238,3946.61007244
33,3944.32573238,3946.61007244
34,4228.27409529,4227.61808256
35,4922.16364786,4913.7893626
36,5711.00414754,5698.63504268
37,6431.08520915,6415.15429762
38,7172.5057323,7156.8046819
39,8256.59712021,8244.3214515
40,10234.5068743,10240.6436915
41,13052.5910103,13069.440368
42,15296.1705664,15295.3492124
43,15874.8435388,15866.1411243
44,14061.0258106,14064.3127989
45,11447.3163675,11448.7079664
46,8953.27600674,8953.26282187
47,6988.9544565,6990.13936218
48,5476.98178477,5475.23829837
49,4556.63387577,4552.63650243
50,4067.09387953,4068.32873581
51,3945.46438187,3947.72998254
