,prediction,real
0,129839.125889,127547.991652
1,115727.896559,111645.646628
2,110669.462617,118216.955499
3,107959.972981,120313.236652
4,107151.01172,121458.05921
5,107521.07404,121918.788202
6,113076.382702,123357.343425
7,123169.485947,126222.298812
8,162735.193216,175534.303215
9,182623.315852,200077.062421
10,196490.858008,219899.990003
11,209517.630384,242514.719093
12,213183.689735,240981.954347
13,228301.553966,275310.223899
14,228256.164037,270850.132009
15,219627.091337,259733.57442
16,207390.323252,251852.424299
17,189765.088065,203752.957683
18,172472.73135,182890.107321
19,158139.683649,166891.160206
20,146638.858626,149409.505631
21,135243.446707,134458.101708
22,122535.781689,123768.307276
23,114096.56657,121602.186747
24,107842.637786,117286.071632
25,105565.338719,108151.629184
26,103014.979559,99987.4944417
27,98705.171286,99752.6660684
28,97147.0624142,100139.51539
29,96399.6903185,100446.508807
30,99480.4131044,104601.105965
31,111123.226927,108876.587139
32,142113.204984,127166.774506
33,158040.875201,143872.040207
34,171549.413118,159669.384035
35,183098.07049,172923.444723
36,186559.425278,173757.291282
37,204294.109597,202574.945747
38,215203.6584,213462.030017
39,219080.88262,223335.85562
40,217675.260505,218360.313644
41,194543.714825,170829.185398
42,173827.246694,145207.275401
43,153778.930577,127538.662325
44,132946.821976,115463.522953
45,115639.747285,109248.141966
46,104857.097861,108755.863038
47,99742.8921705,107357.588157
48,92255.3473569,101442.578558
49,91359.8448563,97313.070284
50,95706.1799657,97513.0847414
51,95806.5917494,98170.2124496
52,94181.4992466,98634.4614016
53,93369.2382091,98977.6023616
54,96190.4375766,102585.675276
55,107207.69484,108766.57916
56,136683.56898,118129.121118
57,151309.344942,135337.259198
58,165011.015008,147781.143361
59,176591.740453,160137.731417
60,180739.409149,162596.307938
61,200890.990841,195997.091235
62,212078.032668,208040.393507
63,217350.06819,219215.162534
64,216371.775925,213733.615486
65,190011.899578,164588.96393
66,171044.901588,141262.825652
67,148239.78798,124784.668543
68,127108.615906,113425.625124
69,114432.837405,108971.965945
70,101794.253234,108755.863038
71,95283.8872555,106443.901582
72,89096.0804476,100249.640044
73,83847.845096,96642.7883625
74,83975.8660618,97148.1431134
75,82282.7524569,97653.332314
76,80730.698297,98045.0241879
77,80882.4282321,98609.827912
78,89503.9294778,102660.878037
79,105638.697854,109158.624244
80,138808.803714,128239.230838
81,157449.772632,146681.427527
82,169473.038381,156712.503774
83,182021.774819,174431.5652
84,185757.176393,180114.299111
85,202564.790777,209673.99072
86,208264.988282,214614.032067
87,216112.329173,224414.509456
88,213929.876715,220792.845035
89,188494.365658,168164.540693
90,168344.829085,140740.556272
91,150328.679775,124795.289248
92,133171.00729,113982.975851
93,119967.217271,109017.190912
94,110220.461985,108755.863038
95,100460.686973,106421.733632
96,95660.8617862,100454.981932
97,95469.8390123,96906.3492332
98,92965.9378608,97234.728491
99,89487.7950245,97946.4483359
100,87006.2386756,98576.0625784
101,86355.7745677,98945.2748113
102,93073.2527168,100137.133646
103,106816.945524,110999.106961
104,136163.362504,128846.964886
105,155659.801008,150267.371721
106,172289.471027,167262.206101
107,182172.826451,179023.019183
108,182835.609591,172848.157602
109,196555.979508,196697.348827
110,200971.638196,206399.289546
111,203563.756863,203771.125181
112,207360.151807,206699.480889
113,187652.736851,162050.262543
114,168149.471722,138031.212732
115,147385.46535,122502.372181
116,134122.565748,113457.046693
