,prediction,real
0,199895.315396,306568.557693
1,181753.692759,324273.832408
2,137221.919559,152185.847188
3,133146.520889,139155.484505
4,149881.612197,158962.894889
5,133937.007506,139327.448644
6,141135.919504,145151.140547
7,137016.301693,140912.524379
8,132897.688782,133852.733345
9,139156.358242,141089.125897
10,130893.462588,130863.359168
11,137956.965375,137838.766658
12,129816.006769,128526.056176
13,136910.403154,135525.115622
14,128859.647545,126113.963278
15,135943.282307,133384.61247
16,132259.534897,129739.021061
17,128453.867509,123860.503327
18,134755.617801,130796.693442
19,126945.349735,121832.801836
20,133957.090355,128855.490446
21,126200.014852,120264.798749
22,133154.532932,127138.715878
23,129574.773794,123781.792166
24,125981.886791,118525.470665
25,132154.953335,125075.12229
26,124611.960513,116709.830911
27,131450.715723,123250.337232
28,123946.114638,115407.826494
29,130726.909202,121828.457846
30,127297.093797,118948.401938
31,123819.645053,113935.475564
32,129852.045594,120128.748632
33,122518.116669,113352.865111
34,129176.807994,116919.760302
35,121907.192913,112766.177051
36,128503.222217,115896.12049
37,125262.73906,114694.720645
38,121815.758198,111949.948343
39,127708.787997,114603.638461
40,120559.480188,111406.519492
41,127104.701876,113685.661648
42,119973.928502,110881.033114
43,126508.316503,112758.288873
44,123328.124167,110363.691596
45,119936.32545,110092.656623
46,125775.784306,111490.981542
47,118745.244776,109581.523439
48,125206.816257,110565.30934
49,118224.290826,109082.952485
50,124628.022248,109710.4866
51,121491.41473,108807.520981
52,118187.477484,108774.864642
53,123925.820829,109142.056801
54,117081.470022,108758.434469
55,123385.422503,108759.343153
56,116578.952349,108756.21104
57,122829.324836,108755.99106
58,119724.581634,108755.910135
59,116647.172013,108755.880364
60,122334.970648,108755.869411
61,115735.505544,108755.865382
62,121975.564567,108755.8639
63,115416.581175,108755.863355
64,121610.397999,108755.863154
65,118703.217907,108755.863081
66,115669.672854,108755.863053
67,121224.679802,108755.863043
68,114775.847213,108755.86304
69,120883.917208,108755.863038
70,118058.768969,108755.863038
71,115036.637948,108755.863038
72,120496.363359,108755.863038
