,tout,i,t
0,24.975,335.7740983,23.259947
1,24.95,335.7740983,23.00576576
2,24.925,335.7740983,23.00996818
3,24.9,335.7740983,23.00996844
4,24.875,335.7740983,23.01975129
5,24.85,335.7740983,23.01995193
6,24.825,335.7740983,23.02975176
7,24.8,335.7740983,23.02998208
8,24.775,335.7740983,23.02998008
9,24.75,335.7740983,23.03975551
10,24.725,335.7740983,23.03998207
11,24.7,335.7740983,23.04975884
12,24.675,335.7740983,23.0500061
13,24.65,335.7740983,23.0597624
14,24.625,335.7740983,23.06000014
15,24.6,335.7740983,23.06978412
16,24.575,335.7740983,23.06999576
17,24.55,335.7740983,23.0699989
18,24.525,335.7740983,23.07977827
19,24.5,335.7740983,23.07999058
20,24.475,335.7740983,23.08978201
21,24.45,335.7740983,23.08998875
22,24.425,335.7740983,23.0997831
23,24.4,335.7740983,23.09998756
24,24.375,335.7740983,23.09999222
25,24.35,335.7740983,23.10978131
26,24.325,335.7740983,23.10998647
27,24.3,335.7740983,23.1197866
28,24.275,335.7740983,23.11998623
29,24.25,335.7740983,23.12978868
30,24.225,335.7740983,23.12998611
31,24.2,335.7740983,23.12999091
32,24.175,335.7740983,23.13978775
33,24.15,335.7740983,23.13998602
34,24.125,335.7740983,23.1497933
35,24.1,335.7740983,23.14998621
36,24.075,335.7740983,23.15979555
37,24.05,335.7740983,23.15998639
38,24.025,335.7740983,23.15999102
39,24,335.7740983,23.16979479
40,23.975,335.7740983,23.16998661
41,23.95,335.7740983,23.1798003
42,23.925,335.7740983,23.17998693
43,23.9,335.7740983,23.18980252
44,23.875,335.7740983,23.18998721
45,23.85,335.7740983,23.18999163
46,23.825,335.7740983,23.19980178
47,23.8,335.7740983,23.19998755
48,23.775,335.7740983,23.20973763
49,23.75,335.7740983,23.20998648
50,23.725,335.7740983,23.21961497
51,23.7,335.7740983,23.21998425
52,23.675,335.7740983,23.21999235
53,23.65,335.7740983,23.22989301
54,23.625,335.7740983,23.22999039
55,23.6,335.7740983,23.23980682
56,23.575,335.7740983,23.23998893
57,23.55,335.7740983,23.25007841
58,23.525,335.7740983,23.24999472
59,23.5,335.7740983,23.24999348
60,23.50166667,335.7740983,23.25974878
61,23.50333333,335.7740983,23.25998854
62,23.505,335.7740983,23.26958486
63,23.50666667,335.7740983,23.2699856
64,23.50833333,335.7740983,23.27990139
65,23.51,335.7740983,23.27999206
66,23.51166667,335.7740983,23.2798328
67,23.51333333,335.7740983,23.28964456
68,23.515,335.7740983,23.28998734
69,23.51666667,335.7740983,23.30011283
70,23.51833333,335.7740983,23.29999651
71,23.52,335.7740983,23.30028488
