,tout,i,t
0,24.975,521.045355,23.53635425
1,24.95,521.045355,23.02095372
2,24.925,521.045355,23.011275
3,24.9,521.045355,23.0098953
4,24.875,521.045355,23.01971553
5,24.85,521.045355,23.01993256
6,24.825,521.045355,23.029709
7,24.8,521.045355,23.02993219
8,24.775,521.045355,23.02993113
9,24.75,521.045355,23.03972564
10,24.725,521.045355,23.03993535
11,24.7,521.045355,23.04973198
12,24.675,521.045355,23.04994033
13,24.65,521.045355,23.05973805
14,24.625,521.045355,23.05994347
15,24.6,521.045355,23.06974361
16,24.575,521.045355,23.0699463
17,24.55,521.045355,23.06994528
18,24.525,521.045355,23.07975085
19,24.5,521.045355,23.0799486
20,24.475,521.045355,23.08975546
21,24.45,521.045355,23.08995218
22,24.425,521.045355,23.09976003
23,24.4,521.045355,23.09995439
24,24.375,521.045355,23.09995311
25,24.35,521.045355,23.10976607
26,24.325,521.045355,23.10995604
27,24.3,521.045355,23.11977006
28,24.275,521.045355,23.11995913
29,24.25,521.045355,23.12977409
30,24.225,521.045355,23.12996101
31,24.2,521.045355,23.12995961
32,24.175,521.045355,23.1397792
33,24.15,521.045355,23.13996229
34,24.125,521.045355,23.1497829
35,24.1,521.045355,23.1499844
36,24.075,521.045355,23.1597865
37,24.05,521.045355,23.1599835
38,24.025,521.045355,23.15996452
39,24,521.045355,23.16980579
40,23.975,521.045355,23.16998277
41,23.95,521.045355,23.17981068
42,23.925,521.045355,23.17998189
43,23.9,521.045355,23.18981184
44,23.875,521.045355,23.18998117
45,23.85,521.045355,23.18998497
46,23.825,521.045355,23.19981008
47,23.8,521.045355,23.19998057
48,23.775,521.045355,23.20981507
49,23.75,521.045355,23.2099806
50,23.725,521.045355,23.21981693
51,23.7,521.045355,23.21998074
52,23.675,521.045355,23.21998471
53,23.65,521.045355,23.22981602
54,23.625,521.045355,23.22998106
55,23.6,521.045355,23.2398213
56,23.575,521.045355,23.23998154
57,23.55,521.045355,23.24982341
58,23.525,521.045355,23.24998202
59,23.5,521.045355,23.24998591
60,23.50166667,521.045355,23.2598228
61,23.50333333,521.045355,23.25998272
62,23.505,521.045355,23.26982802
63,23.50666667,521.045355,23.26998327
64,23.50833333,521.045355,23.27983003
65,23.51,521.045355,23.27998369
66,23.51166667,521.045355,23.27998728
67,23.51333333,521.045355,23.28982915
68,23.515,521.045355,23.28998409
69,23.51666667,521.045355,23.29983401
70,23.51833333,521.045355,23.2999844
71,23.52,521.045355,23.29998778
72,23.52166667,521.045355,23.30983294
73,23.52333333,521.045355,23.30998457
74,23.525,521.045355,23.31983758
75,23.52666667,521.045355,23.31998474
76,23.52833333,521.045355,23.32983917
77,23.53,521.045355,23.32998482
78,23.53166667,521.045355,23.32998797
79,23.53333333,521.045355,23.33983784
80,23.535,521.045355,23.33998474
81,23.53666667,521.045355,23.34984225
82,23.53833333,521.045355,23.34998476
83,23.54,521.045355,23.34998779
84,23.54166667,521.045355,23.35984078
85,23.54333333,521.045355,23.35998454
86,23.545,521.045355,23.36984506
87,23.54666667,521.045355,23.36998447
88,23.54833333,521.045355,23.3699874
89,23.55,521.045355,23.37984346
90,23.55166667,521.045355,23.37998414
91,23.55333333,521.045355,23.38984763
92,23.555,521.045355,23.38998399
93,23.55666667,521.045355,23.38998683
94,23.55833333,521.045355,23.3998459
95,23.56,521.045355,23.39998355
96,23.56166667,521.045355,23.40967102
97,23.56333333,521.045355,23.40998051
98,23.565,521.045355,23.40998607
99,23.56666667,521.045355,23.42001407
100,23.56833333,521.045355,23.41998544
101,23.57,521.045355,23.42981483
102,23.57166667,521.045355,23.429982
103,23.57333333,521.045355,23.42998531
104,23.575,521.045355,23.44007117
105,23.57666667,521.045355,23.43998541
106,23.57833333,521.045355,23.44997915
107,23.58,521.045355,23.44998362
108,23.58166667,521.045355,23.44998446
109,23.58333333,521.045355,23.46007099
110,23.585,521.045355,23.45998439
111,23.58666667,521.045355,23.46988086
112,23.58833333,521.045355,23.46998114
113,23.59,521.045355,23.46998347
114,23.59166667,521.045355,23.47999424
115,23.59333333,521.045355,23.47998217
116,23.595,521.045355,23.48003184
117,23.59666667,521.045355,23.48999508
118,23.59833333,521.045355,23.48998149
119,23.6,521.045355,23.49972479
120,23.60333333,521.045355,23.49997714
121,23.60666667,521.045355,23.50018188
122,23.61,521.045355,23.50968268
123,23.61333333,521.045355,23.50997591
124,23.61666667,521.045355,23.50983128
125,23.62,521.045355,23.51972912
126,23.62333333,521.045355,23.51997591
127,23.62666667,521.045355,23.53002922
128,23.63,521.045355,23.52997986
129,23.63333333,521.045355,23.5298591
130,23.63666667,521.045355,23.53995733
131,23.64,521.045355,23.53997826
132,23.64333333,521.045355,23.54003026
133,23.64666667,521.045355,23.54973932
134,23.65,521.045355,23.54997474
135,23.65333333,521.045355,23.55971896
136,23.65666667,521.045355,23.5599962
137,23.66,521.045355,23.55999751
138,23.66333333,521.045355,23.56978297
139,23.66666667,521.045355,23.56998666
140,23.67,521.045355,23.57007327
141,23.67333333,521.045355,23.57997697
142,23.67666667,521.045355,23.57987822
143,23.68,521.045355,23.57990475
144,23.68333333,521.045355,23.5899049
145,23.68666667,521.045355,23.59012187
146,23.69,521.045355,23.58989069
147,23.69333333,521.045355,23.59976033
148,23.69666667,521.045355,23.60018264
149,23.7,521.045355,23.60980464
150,23.70333333,521.045355,23.61001888
151,23.70666667,521.045355,23.61012621
152,23.71,521.045355,23.61984598
153,23.71333333,521.045355,23.61999453
154,23.71666667,521.045355,23.62018838
155,23.72,521.045355,23.63005246
156,23.72333333,521.045355,23.62990774
157,23.72666667,521.045355,23.63004911
158,23.73,521.045355,23.64003213
159,23.73333333,521.045355,23.64017561
160,23.73666667,521.045355,23.6400634
161,23.74,521.045355,23.64993818
162,23.74333333,521.045355,23.64999881
163,23.74666667,521.045355,23.65000869
164,23.75,521.045355,23.66006457
165,23.75333333,521.045355,23.6601305
166,23.75666667,521.045355,23.66023891
167,23.76,521.045355,23.6699415
168,23.76333333,521.045355,23.66999445
169,23.76666667,521.045355,23.6700521
170,23.77,521.045355,23.67984139
171,23.77333333,521.045355,23.6801586
172,23.77666667,521.045355,23.68023013
173,23.78,521.045355,23.68028275
174,23.78333333,521.045355,23.69004178
175,23.78666667,521.045355,23.68999607
176,23.79,521.045355,23.69001824
177,23.79333333,521.045355,23.70000358
178,23.79666667,521.045355,23.70001945
179,23.8,521.045355,23.70016961
180,23.80166667,521.045355,23.70978757
181,23.80333333,521.045355,23.70993769
182,23.805,521.045355,23.71022617
183,23.80666667,521.045355,23.71985371
184,23.80833333,521.045355,23.72000186
185,23.81,521.045355,23.72026631
186,23.81166667,521.045355,23.72982618
187,23.81333333,521.045355,23.72995954
188,23.815,521.045355,23.73020823
189,23.81666667,521.045355,23.7301332
190,23.81833333,521.045355,23.7397617
191,23.82,521.045355,23.73997016
192,23.82166667,521.045355,23.74017625
193,23.82333333,521.045355,23.75001738
194,23.825,521.045355,23.75028272
195,23.82666667,521.045355,23.74994867
196,23.82833333,521.045355,23.74994492
197,23.83,521.045355,23.76003482
198,23.83166667,521.045355,23.75993873
199,23.83333333,521.045355,23.76029137
200,23.835,521.045355,23.77012931
201,23.83666667,521.045355,23.7698585
202,23.83833333,521.045355,23.77014197
203,23.84,521.045355,23.77003714
204,23.84166667,521.045355,23.77983386
205,23.84333333,521.045355,23.78010381
206,23.845,521.045355,23.78013819
207,23.84666667,521.045355,23.79004975
208,23.84833333,521.045355,23.78984479
209,23.85,521.045355,23.79004704
210,23.85166667,521.045355,23.79028149
211,23.85333333,521.045355,23.80010613
212,23.855,521.045355,23.80026554
213,23.85666667,521.045355,23.80011274
214,23.85833333,521.045355,23.80000296
215,23.86,521.045355,23.81006335
216,23.86166667,521.045355,23.80988526
