,tout,i,t
0,24.975,4203.265459,23.76439684
1,24.95,4149.681776,23.3622208
2,24.925,4149.681776,23.02151013
3,24.9,4149.681776,23.01001318
4,24.875,4149.681776,23.01975025
5,24.85,4149.681776,23.01997598
6,24.825,4149.681776,23.02982487
7,24.8,4149.681776,23.02999726
8,24.775,4149.681776,23.0299942
9,24.75,4149.681776,23.03982848
10,24.725,4149.681776,23.03999793
11,24.7,4149.681776,23.04983179
12,24.675,4149.681776,23.05000009
13,24.65,4149.681776,23.05983476
14,24.625,4149.681776,23.06000104
15,24.6,4149.681776,23.06983741
16,24.575,4149.681776,23.07000183
17,24.55,4149.681776,23.06999831
18,24.525,4149.681776,23.07984051
19,24.5,4149.681776,23.08000174
20,24.475,4149.681776,23.08984292
21,24.45,4149.681776,23.09000332
22,24.425,4149.681776,23.09984509
23,24.4,4149.681776,23.10000387
24,24.375,4149.681776,23.10000019
25,24.35,4149.681776,23.1098475
26,24.325,4149.681776,23.11000347
27,24.3,4149.681776,23.11984961
28,24.275,4149.681776,23.1200215
29,24.25,4149.681776,23.12985143
30,24.225,4149.681776,23.13001975
31,24.2,4149.681776,23.13000092
32,24.175,4149.681776,23.13986652
33,24.15,4149.681776,23.14001776
34,24.125,4149.681776,23.14986962
35,24.1,4149.681776,23.15001615
36,24.075,4149.681776,23.15986963
37,24.05,4149.681776,23.1600147
38,24.025,4149.681776,23.16001565
39,24,4149.681776,23.1698667
40,23.975,4149.681776,23.17001297
41,23.95,4149.681776,23.17986999
42,23.925,4149.681776,23.18001211
43,23.9,4149.681776,23.18987059
44,23.875,4149.681776,23.19001133
45,23.85,4149.681776,23.19001256
46,23.825,4149.681776,23.19986829
47,23.8,4149.681776,23.20001028
48,23.775,4149.681776,23.20987181
49,23.75,4149.681776,23.21000973
50,23.725,4149.681776,23.21987255
51,23.7,4149.681776,23.22000919
52,23.675,4149.681776,23.22001049
53,23.65,4149.681776,23.22987051
54,23.625,4149.681776,23.2300084
55,23.6,4149.681776,23.23987402
56,23.575,4149.681776,23.24000797
57,23.55,4149.681776,23.24987483
58,23.525,4149.681776,23.25000752
59,23.5,4149.681776,23.25000883
60,23.50166667,4149.681776,23.25987285
61,23.50333333,4149.681776,23.26000684
62,23.505,4149.681776,23.26987638
63,23.50666667,4149.681776,23.27000651
64,23.50833333,4149.681776,23.27987725
65,23.51,4149.681776,23.28000621
66,23.51166667,4149.681776,23.28000756
67,23.51333333,4149.681776,23.28987548
68,23.515,4149.681776,23.2900058
69,23.51666667,4149.681776,23.29987909
70,23.51833333,4149.681776,23.30000566
71,23.52,4149.681776,23.30000703
72,23.52166667,4149.681776,23.30987748
73,23.52333333,4149.681776,23.31000543
74,23.525,4149.681776,23.31988113
75,23.52666667,4149.681776,23.32000539
76,23.52833333,4149.681776,23.32988219
77,23.53,4149.681776,23.33000534
78,23.53166667,4149.681776,23.33000669
79,23.53333333,4149.681776,23.33988074
80,23.535,4149.681776,23.3400053
81,23.53666667,4149.681776,23.34988442
82,23.53833333,4149.681776,23.35000537
83,23.54,4149.681776,23.35000669
84,23.54166667,4149.681776,23.35988307
85,23.54333333,4149.681776,23.36000544
86,23.545,4149.681776,23.36988677
87,23.54666667,4149.681776,23.37000557
88,23.54833333,4149.681776,23.37000684
89,23.55,4149.681776,23.3798855
90,23.55166667,4149.681776,23.38000573
91,23.55333333,4149.681776,23.3898892
92,23.555,4149.681776,23.39000592
93,23.55666667,4149.681776,23.39000713
94,23.55833333,4149.681776,23.39988799
95,23.56,4149.681776,23.40000614
96,23.56166667,4149.681776,23.4098457
97,23.56333333,4149.681776,23.41000573
98,23.565,4149.681776,23.4100075
99,23.56666667,4149.681776,23.41979612
100,23.56833333,4149.681776,23.42000536
101,23.57,4149.681776,23.43005099
102,23.57166667,4149.681776,23.43000906
103,23.57333333,4149.681776,23.43000799
104,23.575,4149.681776,23.43972602
105,23.57666667,4149.681776,23.44000498
106,23.57833333,4149.681776,23.44985128
107,23.58,4149.681776,23.4500069
108,23.58166667,4149.681776,23.45000849
109,23.58333333,4149.681776,23.45983872
110,23.585,4149.681776,23.46000713
111,23.58666667,4149.681776,23.46982117
112,23.58833333,4149.681776,23.47000714
113,23.59,4149.681776,23.47000905
114,23.59166667,4149.681776,23.47992725
115,23.59333333,4149.681776,23.48000896
116,23.595,4149.681776,23.48000944
117,23.59666667,4149.681776,23.48978844
118,23.59833333,4149.681776,23.49000758
119,23.6,4149.681776,23.49970615
120,23.60333333,4149.681776,23.5000068
121,23.60666667,4149.681776,23.50001005
122,23.61,4149.681776,23.50979436
123,23.61333333,4149.681776,23.51000838
124,23.61666667,4149.681776,23.50982518
125,23.62,4149.681776,23.51967861
126,23.62333333,4149.681776,23.52000748
127,23.62666667,4149.681776,23.52989932
128,23.63,4149.681776,23.5300044
129,23.63333333,4149.681776,23.5301067
130,23.63666667,4149.681776,23.53976201
131,23.64,4149.681776,23.5400024
132,23.64333333,4149.681776,23.54015784
133,23.64666667,4149.681776,23.54992093
134,23.65,4149.681776,23.5500041
135,23.65333333,4149.681776,23.55985618
136,23.65666667,4149.681776,23.56000322
137,23.66,4149.681776,23.55991738
138,23.66333333,4149.681776,23.56980156
139,23.66666667,4149.681776,23.57000231
140,23.67,4149.681776,23.57018248
141,23.67333333,4149.681776,23.57998171
142,23.67666667,4149.681776,23.58000425
