,prediction,real
0,12776.3489318,12751.9492611
1,9636.95264427,9603.8739557
2,7209.17656015,7177.57483983
3,5102.95657721,5104.67846177
4,4132.26024192,4144.07634609
5,3872.46052406,3892.24816329
6,3776.48910238,3800.67327159
7,3712.45018859,3739.66196448
8,3675.02137672,3704.03838407
9,3754.25929616,3779.73948758
10,4427.8458637,4428.5656444
11,5702.11360873,5678.79288522
12,7765.90274452,7722.54657321
13,9794.4801718,9747.71449627
14,12297.163391,12271.0158587
15,13811.9841757,13790.9995872
16,16423.3999307,16433.4404863
17,19585.9138284,19606.750105
18,21867.0544642,21890.3561903
19,23036.4243601,23055.9692573
20,22010.8994043,22028.5417204
21,19551.5547368,19558.7700638
22,15511.7398901,15513.6522217
23,12052.1602191,12016.7030593
24,9604.0919048,9562.41090096
25,7353.08183842,7317.63941657
26,5635.16984114,5622.80853622
27,4418.54562797,4422.12409799
28,4045.65418175,4057.9004192
29,3920.62218866,3938.25133796
30,3812.90256059,3835.38270502
31,3756.07745496,3781.19886008
32,3720.59080127,3747.39206852
33,3776.48159304,3800.70176778
34,4164.9190832,4174.09694859
35,5131.36024331,5112.0384281
36,6280.33717686,6235.57762218
37,7333.16465164,7280.00702607
38,8931.27628576,8888.53510699
39,11222.0721036,11192.1641662
40,14200.8503176,14194.5049387
41,17528.1980128,17540.2232684
42,19672.690407,19682.2059863
43,19992.1822099,20002.19802
44,19102.8000208,19111.5697981
45,16330.3257655,16316.4117551
46,13686.4871117,13656.3439256
47,11320.8130963,11279.0067563
48,9168.54525974,9125.46721772
49,7176.44587777,7140.86557728
50,5540.37038616,5524.71953231
51,4801.39183667,4790.66329405
