,prediction,real
0,3914.93807736,3914.93807736
1,3129.75191182,3129.75191181
2,2379.75630839,2379.75630839
3,1802.79376582,1802.79376583
4,1683.24674256,1683.24674256
5,1683.24674256,1683.24674256
6,1683.24674256,1683.24674256
7,1683.24674256,1683.24674256
8,1683.24674256,1683.24674256
9,1683.24674256,1683.24674256
10,1683.24674256,1683.24674256
11,1684.57501816,1684.57501816
12,1759.24421052,1759.24421052
13,2041.82294426,2041.82294426
14,2537.02309644,2537.02309644
15,2710.11966212,2710.11966212
16,3042.0662766,3042.0662766
17,3564.69685021,3564.69685021
18,3990.33018765,3990.33018765
19,4274.44566871,4274.44566871
20,4209.11056651,4209.11056651
21,4007.09288009,4007.09288009
22,3667.34306504,3667.34306504
23,3201.19332445,3201.19332445
24,2660.3748181,2660.3748181
25,2105.83414651,2105.83414651
26,1760.68153644,1760.68153644
27,1683.24674256,1683.24674256
28,1683.24674256,1683.24674256
29,1683.24674256,1683.24674256
30,1683.24674256,1683.24674256
31,1683.24674256,1683.24674256
32,1683.24674256,1683.24674256
33,1683.24674256,1683.24674256
34,1683.24674256,1683.24674256
35,1683.24674256,1683.24674256
36,1683.24674256,1683.24674256
37,1683.24674256,1683.24674256
38,1702.99075963,1702.99075963
39,1907.36559048,1907.36559048
40,2349.68865034,2349.68865034
41,2855.16474337,2855.16474336
42,3278.7998105,3278.7998105
43,3572.36395931,3572.36395931
44,3689.78991843,3689.78991843
45,3581.40708906,3581.40708906
46,3304.84161028,3304.84161028
47,2899.89322015,2899.89322015
48,2410.1787985,2410.1787985
49,1937.98941634,1937.98941634
50,1705.94279259,1705.94279259
51,1683.24674256,1683.24674256
