,fan4,fan3,fan2,fan1,chiller
0,5812.72125677,20226.6392277,120488.853148,12527.9196398,146358.05017
1,3595.8886453,11414.2352679,56728.2348525,5805.89279938,108882.372746
2,2355.2871071,7245.69436139,36614.7978181,4061.73879687,108755.863038
3,1715.65143629,5142.61286465,27136.9276619,3946.61007244,104194.726611
4,1683.24674256,4183.75653912,22432.8977558,3946.61007244,94460.0089848
5,1683.24674256,3884.96843672,21760.0834607,3946.61007244,93461.2258741
6,1683.24674256,4191.32649573,22113.1150443,3946.61007244,96154.5677024
7,1683.24674256,5661.27777404,28984.761675,4002.99835328,108331.981664
8,4086.64247028,13593.8981276,87728.8646227,7180.98792299,126390.952075
9,5203.59287907,20068.0219441,141820.059732,12339.1096159,155449.703852
10,6593.47895597,27015.0258567,200797.62425,18116.0975197,181825.548528
11,8114.02783818,27746.2818013,215290.52297,25182.2615923,212047.712377
12,8416.23371281,26240.0481049,200668.619333,25920.1354815,208808.662631
13,8416.23371281,28132.6906271,213269.483816,25514.8921879,233723.444773
14,8416.23371281,31279.9034652,242526.278682,27769.7471097,242818.865934
15,8416.23371281,32300.5553834,249296.744434,28531.4629756,240684.3931
16,8416.23371281,32569.8187981,249070.074773,28540.8625799,238991.12185
17,8416.23371281,30027.649565,222187.067021,25420.5945473,215766.923913
18,8416.23371281,27539.6721922,192454.429118,23967.611206,193074.587018
19,8416.23371281,25195.7053806,178953.251138,23498.4407954,174528.872212
20,8416.23371281,23810.5175323,178663.785504,22020.2635247,151206.553847
21,8007.73451402,24123.8699714,151407.100502,14294.7043237,132473.882236
22,5788.99125335,18925.1713178,81402.4045093,7642.02395682,112108.215234
23,3860.6140718,11092.9717624,42248.4259002,4270.47581852,108755.863038
24,2322.04187315,6438.59573861,24649.747033,3946.61007244,95544.7425667
25,1684.32411232,4222.31902914,21760.0834607,3946.61007244,87929.3661203
26,1683.24674256,3871.33114721,21760.0834607,3946.61007244,89598.19269
27,1683.24674256,3733.14740005,21760.0834607,3946.61007244,90223.1168233
28,1683.24674256,3654.4477769,21760.0834607,3946.61007244,90942.290194
29,1683.24674256,3644.43617076,21760.0834607,3946.61007244,91690.221269
30,1683.24674256,3711.20547586,21760.0834607,3946.61007244,92778.4162279
31,1683.24674256,3872.70854555,21760.0834607,3946.61007244,95156.1229134
32,2621.98642394,6098.95979039,30756.6118945,3946.61007244,106717.023103
33,3642.46371998,9778.09155927,49870.768809,4209.60167841,112139.294079
34,4887.2758812,15300.1743875,84373.7055098,6753.78160431,131432.860027
35,6479.12043397,23752.5288326,144354.686989,12055.2256082,159568.371287
36,7487.42539236,26230.5932129,174674.000152,15087.0431005,167506.473905
37,8416.23371281,26427.0943805,201072.590826,25455.1259171,219358.387618
38,8416.23371281,27947.6232806,205519.516103,26540.4564929,233730.019622
39,8416.23371281,29224.2269433,215396.527568,25836.7777419,238027.923572
40,8416.23371281,29714.2330814,218761.357893,24991.9755081,240070.719376
41,8416.23371281,27577.6539543,191988.434139,25309.0097235,211090.237657
42,8416.23371281,25341.2722768,190398.848687,25073.873249,180951.851418
43,8416.23371281,24499.218605,184624.636302,22028.9628803,165612.13218
44,8346.62991695,24469.7167936,154916.491351,14434.9962724,145512.692171
45,6825.88201681,22462.2957722,92700.0299087,8617.42783746,124318.648237
46,4730.57937266,13790.4345982,47684.4409711,4605.53270781,113631.071027
47,3034.24850292,8091.02999418,26463.138637,3946.89558201,111018.543425
48,1823.07114314,4754.99929126,21760.0834607,3946.61007244,102580.867208
49,1683.24674256,4004.7186012,21760.0834607,3946.61007244,102891.493333
50,1683.24674256,3822.49407608,21760.0834607,3946.61007244,102817.079322
51,1683.24674256,3700.91587257,21760.0834607,3946.61007244,102584.344277
52,1683.24674256,3633.6205692,21760.0834607,3946.61007244,102806.441547
53,1683.24674256,3638.75931028,21760.0834607,3946.61007244,103106.26694
54,1683.24674256,3726.91973778,21760.0834607,3946.61007244,103921.042453
55,1683.24674256,3896.80386148,21760.0834607,3946.61007244,109136.748343
56,2317.09214947,5583.7210041,24783.2784336,3952.13982223,120313.588608
57,3291.50239031,9341.9127823,44436.8630613,4481.49909945,132851.909025
58,4456.78689406,15162.7905602,83472.1496163,6871.32779438,169727.630553
59,6009.73643925,23591.5884706,142496.414438,12269.8143314,215108.093196
60,7003.04690103,27526.942521,181442.762664,16310.1553224,240256.219637
61,8416.23371281,28861.246594,222500.840683,23838.185648,321839.698855
62,8416.23371281,31444.9936595,246794.776384,25988.7995127,351013.218886
63,8416.23371281,32737.8766243,271234.70099,27623.0431726,359381.610231
64,8416.23371281,32737.8766243,267779.18575,28947.6457435,357157.402467
65,8416.23371281,30182.1996585,228429.380217,25453.8622304,300557.947669
66,8416.23371281,27468.196189,222839.087264,26240.3060625,247577.704585
67,8416.23371281,26884.3571626,215072.813853,24716.8714818,220938.793751
68,8230.8793308,27086.5503483,163286.465415,16751.7600679,187402.474904
69,6557.70131195,23651.7054426,98541.9225796,10274.9770415,152419.236313
70,4525.14208903,14352.8189237,51753.5508699,5691.44725597,125189.631506
71,2878.00591953,8347.27975544,25879.4306838,4131.92417536,120226.344439
72,1767.87438503,4917.61189353,21760.0834607,3946.61007244,117097.750267
73,1683.24674256,4125.52044512,21760.0834607,3946.61007244,112214.156524
74,1683.24674256,3905.78537136,21760.0834607,3946.61007244,109614.239666
75,1683.24674256,3760.2695132,21760.0834607,3946.61007244,107395.221248
76,1683.24674256,3680.94475257,21760.0834607,3946.61007244,107469.262552
77,1683.24674256,3682.99171912,21760.0834607,3946.61007244,111647.477196
78,1683.24674256,3768.13941327,21760.0834607,3946.61007244,116562.235196
79,1683.24674256,3957.77468461,21935.2377634,3965.99940005,120952.180397
