,oa
0,20.3566666667
1,17.8
2,17.8
3,17.8
4,18.2575
5,19.2083333333
6,20.1575
7,21.7183333333
8,23.9183333333
9,26.1183333333
10,26.9966666667
11,26.6475
12,26.2966666667
13,25.7441666667
14,24.9933333333
15,24.2441666667
16,23.9
17,23.9
18,23.9
19,23.7983333333
20,23.5983333333
21,23.3983333333
22,23.1983333333
23,23.0491666667
24,22.8983333333
25,22.4441666667
26,21.6933333333
27,20.9441666667
28,20.6
29,20.6
30,20.6
31,20.6
32,20.6
33,20.6
34,20.6
35,20.6
36,20.6
37,20.8541666667
38,21.405
39,21.9541666667
40,22.2
41,22.2
42,22.2
43,22.2
44,22.2
45,22.2
46,22.2
47,22.2
48,22.2
49,22.2
50,22.2
51,22.2
52,22.3016666667
53,22.5016666667
54,22.7016666667
55,23.2575
56,24.2083333333
57,25.1575
58,26.2608333333
59,27.51
60,28.7608333333
61,29.705
62,30.2541666667
63,30.805
64,30.3375
65,28.8883333333
66,27.4375
67,26.4966666667
68,26.1475
69,25.7966666667
70,25.295
71,24.7458333333
72,24.195
73,23.6966666667
74,23.3475
75,22.9966666667
76,23.0541666667
77,23.605
78,24.1541666667
79,25.1625
80,26.6625
81,28.1625
82,29.205
83,29.7541666667
84,30.305
85,30.6
86,30.6
87,30.6
88,30.295
89,29.7458333333
90,29.195
91,28.1375
92,26.6375
93,25.1375
94,24.1458333333
95,23.595
96,23.0458333333
97,22.9016666667
98,23.0508333333
99,23.2016666667
100,23.4016666667
101,23.6016666667
102,23.8016666667
103,24.1033333333
104,24.4525
105,24.8033333333
106,24.695
107,24.1458333333
108,23.595
109,24.0625
110,25.5625
111,27.0625
112,26.8341666667
113,24.985
114,23.1341666667
115,22.2
116,22.2
117,22.2
118,22.3016666667
119,22.5016666667
