,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
0,521.045354959,335.774098251,521.033961507,335.774098251,4150.57245618,521.045354959,335.774098251,521.033961507,335.774098251,4150.57245311,521.045354959,335.774098251,521.033961507,335.774098251,4150.5724531,4620.66481822
1,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
2,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
3,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
4,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
5,534.61163115,340.518045626,531.179866544,344.810734523,4270.58785257,534.61163115,340.518045626,531.179866544,344.810734523,4270.58785257,534.706632347,340.704684274,531.369868791,344.872947405,4270.58785257,4755.29356434
6,608.808856283,387.920133555,603.83226674,394.297321375,5021.4357515,608.231497897,387.793493566,602.341801325,393.886673625,4982.90468,604.594191612,387.249732234,600.321502859,390.785710648,4982.81443963,5482.82400944
7,716.191679269,456.080644729,711.314713557,462.058240684,6283.5964313,714.773857208,456.080604194,708.839805967,461.106057861,6226.10416464,708.562070917,456.080776602,708.486432751,456.080775371,6226.10318933,6717.70927932
8,2051.05942876,1319.4158989,2049.74616952,1321.86500908,17845.8119008,2050.371521,1319.41601918,2049.70603003,1320.64298791,17832.837565,2049.75141001,1319.41765449,2049.70410491,1319.41912877,17832.8269038,19438.2019495
9,2068.45409422,1331.46513583,2068.40896131,1331.47709403,18020.66028,2068.45397236,1331.46501571,2068.40879699,1331.47700793,18020.6583078,2068.45125225,1331.46722109,2068.40597348,1331.46876047,18020.639863,19604.0831027
10,2090.99248389,1345.99412275,2090.95152256,1346.00382821,18217.3338222,2090.99297253,1345.99447805,2090.95182506,1346.0040941,18217.334493,2090.991093,1345.99646247,2090.94897467,1345.99469827,18217.3141846,19804.024703
11,2115.62654415,1361.87611024,2115.58795702,1361.88024489,18507.6294056,2115.63055499,1361.87866998,2115.59097994,1361.88246586,18507.649517,2115.62911806,1361.87948752,2115.58825419,1361.87339612,18507.6300069,20008.0757663
12,1591.51625912,1024.12917082,1591.48496588,1024.12940444,14454.7549073,1591.5180387,1024.12975982,1591.48568877,1024.12997914,14454.758028,1591.51755106,1024.13003069,1591.48438535,1024.12553398,14454.7218206,15324.0514059
13,2163.92770073,1393.09859724,2164.03039543,1393.09485096,18988.3411988,2161.28597068,1393.09850647,2163.48242148,1393.09474822,18882.3024361,2157.10237951,1393.09129634,2160.32854301,1393.07326593,18858.2122745,20097.9899387
14,2182.48434966,1406.05995437,2179.97181026,1405.81211847,18823.8978836,2177.35863686,1406.0083706,2171.37934992,1405.63376363,18661.952919,2167.87214713,1405.960773,2162.74604912,1404.25730933,18624.3659749,20096.7901403
15,2199.71035094,1416.35794831,2183.52605798,1406.58498266,18802.3370555,2197.49311618,1416.33114143,2174.19964353,1402.70696489,18644.5464821,2185.33963184,1416.42278778,2165.752672,1398.65781679,18612.5360514,20107.1464526
16,2211.96363655,1423.94992485,2190.78588893,1396.48829143,18955.1500022,2211.92575134,1423.92716087,2181.83509553,1392.03169695,18799.0659511,2202.34073694,1423.8799009,2171.04730401,1389.76123544,18753.5368473,20118.4194292
17,1001.75540427,650.208336685,998.028768263,639.289798767,8863.55138948,1001.76214198,650.212815064,995.599871823,638.191559443,8818.84814577,1004.18822167,652.728917787,990.81639265,635.186909662,8787.36583935,9380.12392407
18,667.954397001,431.917085346,649.486086889,415.01523748,5762.74692191,667.954438786,431.917112008,649.136779066,414.987447119,5750.46893124,669.270040481,433.295960472,648.527575802,414.452850265,5737.14972537,6089.87057795
19,691.057641607,445.673434886,687.883060515,439.983969312,5687.26256841,691.057579024,445.67339144,687.883006522,439.983883907,5685.85230066,691.584371128,445.673456331,688.284075947,440.329131902,5673.90653118,6095.93730402
