,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
0,22.2886197125,22.2597988002,22.3062760411,22.2688445654,22.3366102667,22.2925983393,22.2640962218,22.3189291883,22.2741220257,22.3669885684,22.2916302323,22.2741220268,22.3129368353,22.2771883748,22.3535200678,22.3684572254
1,22.6778297025,22.3054744877,22.7537726532,22.532319257,22.7586635201,22.6926799566,22.2970251665,22.7586910799,22.5758358785,22.7586717072,22.7586046428,22.6320924565,22.7586078326,22.7583156898,22.7586082094,22.7587212963
2,22.6381625304,22.1326528635,22.9051485081,22.4024756259,23.1561025892,22.6764437122,22.1294202235,23.0502589484,22.4675948619,23.2099968835,23.2092367116,22.5526605352,23.2099581036,23.2097277769,23.2099496334,23.2100318001
3,22.5261627854,21.9911023729,22.821424063,22.2776727335,23.1729942172,22.5800117831,22.0008437966,23.0057879092,22.3551586383,23.5789241373,23.3884920427,22.4481608934,23.5702055286,23.5787366216,23.5788918703,23.5296152087
4,22.4216715959,21.8654766045,22.735088366,22.1695585257,23.1013267313,22.5014986945,21.8980949469,22.9538570007,22.2632228648,23.8354276089,23.360692988,22.3668093428,23.671619942,23.8402354793,23.8403267303,23.5534953732
5,22.4157134006,21.9109146236,22.7758628214,22.1522682176,23.0437451312,22.5269842844,21.9713960438,23.0361455158,22.2665754206,23.9195565136,23.4130479876,22.4439274617,23.7724080909,23.9764330658,23.9764638281,23.5451471443
6,22.5980816362,22.535763692,23.0580006637,22.3015703739,23.0260011615,22.7354249187,22.6232024239,23.3605271245,22.4344017567,23.9619228914,23.6100936004,23.0132829819,23.9610167878,23.9780738299,23.9780388956,23.5737796852
7,22.9738713668,23.5991973549,23.4387464249,22.6251219558,23.1091195801,23.1371623848,23.6587119548,23.7338384472,22.77842399,23.8449324344,23.8173331802,23.7649401166,23.8449708168,23.8450702482,23.8449521333,23.6832973929
8,23.552399086,23.5863632288,23.585119292,23.4039510881,23.5498431497,23.5724151567,23.5863612123,23.5862606665,23.4861130985,23.5862270917,23.5862961087,23.5863452857,23.5862925739,23.5864547776,23.5862486845,23.5861813353
9,23.2196483391,23.2198112093,23.2196248372,23.2196642642,23.2195384998,23.2196518476,23.2198155202,23.2196295428,23.2196675208,23.2195453213,23.2197096733,23.2197904208,23.2196831878,23.2199298084,23.2195893424,23.2194851803
10,22.7700737629,22.7701799418,22.7700157821,22.770070084,22.7698836604,22.7700707525,22.7701760321,22.7700144172,22.7700663751,22.7698882479,22.7701239443,22.7701472182,22.7700682536,22.7703693876,22.7699387094,22.7698048277
11,22.2680612848,22.2680854959,22.2679822363,22.2680490611,22.2678272612,22.2679517838,22.2679733588,22.2678843742,22.2679399218,22.267751956,22.2680025316,22.2679578419,22.2679379266,22.2682389416,22.2677995227,22.2955330736
12,21.747679161,21.7477017945,21.747644106,21.7477157123,21.7475049132,21.747589857,21.7476075892,21.7475601801,21.7476188011,21.7474415552,21.7476434519,21.747597509,21.747613789,21.7479075611,21.7474886492,21.9524906424
13,21.2444152758,21.2444352418,21.2443979777,21.2444656566,21.2442756531,21.2444185704,21.2444368752,21.24908468,21.24446634,21.4978026333,21.2445063847,21.2444652902,21.2979770938,21.2447713418,21.5719196187,22.0738635911
14,20.7927647089,20.7927645498,20.8496275319,20.7928534694,20.9166273816,20.792771283,20.7927705158,21.0825026494,20.7928586023,21.4187697652,20.7928407308,20.7927876715,21.2572220892,20.793121671,21.5144374719,22.0711763315
15,20.4232216564,20.423227028,20.575236168,20.4233262272,20.8249451562,20.4232206807,20.4232257639,20.8606416493,20.4233243891,21.344134778,20.4232786779,20.4232414922,21.0776721476,20.4235337508,21.4539046145,22.0459888564
16,20.161000589,20.1610076702,20.3866406709,20.1610696172,20.749031438,20.1609998403,20.1610068404,20.6724562461,20.1610682647,21.2715972452,20.1610402547,20.1610194058,20.9260084384,20.161207974,21.3954611415,22.0190940889
17,20.0239901079,20.0239926301,20.0305599287,20.0240111868,20.1732919952,20.023990463,20.0239930191,20.1143081779,20.0240113077,20.6723803768,20.0240074312,20.0239997632,20.4305936827,20.0240650115,20.8985171081,21.4789492024
18,20.0215506107,20.0215485917,20.0215512593,20.0215392807,20.0217585469,20.0215285991,20.021526596,20.021528729,20.0215175352,20.2602081391,20.0215180161,20.0215245334,20.0607647996,20.0214750661,20.5746656764,21.1456145706
19,20.1537693526,20.1537627951,20.1537716638,20.1537288798,20.153806839,20.1537917893,20.1537866913,20.1537922722,20.1537605293,20.1629174225,20.1537425755,20.1537631373,20.153741745,20.1536148554,20.4163118446,21.0065626189
20,20.4116913359,20.4116813126,20.4116957148,20.4116206394,20.4117401325,20.4117387231,20.4117303483,20.4117401807,20.4116798358,20.4117910532,20.4117005133,20.4117337143,20.4116998974,20.4114958875,20.4197127452,20.8764746667
21,20.7777871205,20.7777766507,20.777792105,20.7777032565,20.7778260258,20.7778075545,20.7777971611,20.777809756,20.7777245486,20.7778436063,20.7777621394,20.7778157732,20.7777615399,20.7774450687,20.7778288696,20.8378798471
22,21.22712645,21.2086522726,21.2271311542,21.227040214,21.2271695764,21.2271351068,21.2036946422,21.2271372907,21.2270493896,21.2271703743,21.2270447903,21.2271131702,21.2270442383,21.2266551065,21.2270847407,21.2271801078
23,21.651306723,21.3089471545,21.7249011842,21.6092083273,21.6774314412,21.6628708686,21.2930789138,21.7291000957,21.6328589493,21.7291227105,21.7290087679,21.6035793935,21.7290083669,21.7286342489,21.7290382488,21.7291273545
24,21.6750340433,21.2340655083,21.9243082776,21.6013825319,21.739194642,21.7088061015,21.2272075626,22.0756959892,21.6478378179,22.2426244353,22.2470277196,21.593588976,22.2494214929,22.2490850995,22.2494414381,22.2495103631
25,21.6050325555,21.1416507569,21.875745747,21.5351440427,21.7080127315,21.6620479742,21.154693963,22.0748857475,21.5953777678,22.4706483892,22.485403082,21.5467930613,22.7065854184,22.7525436022,22.7049389218,22.5996021759
26,21.5026286481,21.0242544766,21.7862809562,21.4426499754,21.672331178,21.583357082,21.0582463798,22.0157239177,21.5189009348,22.4880107769,22.4778185332,21.486323606,22.7991857082,23.2047371378,22.811717756,22.6268749931
27,21.3929096169,20.9021851152,21.6879919381,21.3439641911,21.6335839494,21.4951289613,20.955212483,21.9436557903,21.4363155662,22.4890447855,22.4513176789,21.4193164835,22.7874402473,23.5748851281,22.8313674878,22.6283880556
28,21.2995370667,20.7980405445,21.6043931046,21.2597744126,21.5933669198,21.4210637743,20.8680306997,21.8813019811,21.3667836435,22.4855231419,22.4275999545,21.3623327003,22.7729673067,23.8377903407,22.8450370745,22.6275841659
29,21.2821543331,20.777050448,21.5988709942,21.2474765013,21.5724359189,21.4220894615,20.8632362809,21.8982865363,21.3685460364,22.5025819219,22.4606402678,21.3739493915,22.8207985657,23.9755643657,22.8739458095,22.6448018645
30,21.3912058617,20.8697773875,21.7242156195,21.3509061002,21.5901934283,21.5469030752,20.9703830518,22.0456914836,21.4834862159,22.5644096826,22.5944620805,21.4852783092,22.9643697094,23.9788459335,22.9370380463,22.702054501
31,21.6819896273,21.2399370493,22.0414561332,21.6239228163,21.7020801853,21.8580877881,21.3584613768,22.3927726519,21.7719738236,22.7299373833,22.8846088712,21.8415283584,23.2683003861,23.8474229228,23.0757213364,22.8405499703
32,22.5323562543,22.018625753,22.9625222685,22.3318230444,22.650225813,22.7302418429,22.1499529151,23.3189299397,22.4966098343,23.4963914451,23.506432811,22.5802602058,23.5778749522,23.5902378411,23.5503016866,23.5193135378
33,23.0366593965,22.5175254368,23.2137763044,22.767012813,23.01042532,23.1448990256,22.6494717563,23.2245393633,22.9332171446,23.224509313,23.2246030024,23.0030375023,23.2246040305,23.2248676179,23.2245489821,23.2244859795
34,22.7757254359,22.7093127507,22.7757244571,22.7720944262,22.7756547793,22.7757339698,22.7520291055,22.7757363029,22.775792019,22.7756646486,22.7758261876,22.7757550179,22.7758225906,22.7761533897,22.7757295267,22.7756212258
35,22.2741517095,22.2741451703,22.2741444695,22.2742181443,22.2740196192,22.2741620799,22.2741549108,22.274157386,22.2742264695,22.2740375455,22.2742651822,22.2741753537,22.2742533489,22.2746397825,22.2741167701,22.2739802048
36,21.7538666416,21.7538570556,21.7538620127,21.7539451874,21.7537417252,21.7538703879,21.7538603527,21.7538682844,21.7539461797,21.7537555894,21.7539385824,21.7538485657,21.7539311908,21.7543219073,21.7538067662,21.7537001799
37,21.2503510607,21.2503386054,21.2503515917,21.2504378866,21.250203965,21.2502294363,21.250219014,21.2502251416,21.2502974822,21.2501144661,21.2502877956,21.2502145571,21.2502793021,21.2505943111,21.2515243038,21.637173607
38,20.7977859481,20.7977763473,20.7977767084,20.7978671025,20.7976592163,20.7977173618,20.7977087081,20.7977105029,20.7977844947,20.8366427488,20.7978144026,20.7977496608,20.8193093185,20.7980911277,20.9982186189,21.6451221827
39,20.4270515151,20.4270469399,20.4270463905,20.4271162155,20.4269691381,20.4270494208,20.4270449049,20.4270456659,20.4271084026,20.715291612,20.4271196882,20.4270712335,20.6322654291,20.4273458188,20.9478902387,21.6371527976
40,20.1634133837,20.1634118009,20.1634118112,20.1634559214,20.1677073809,20.1634254557,20.1634238499,20.1634245179,20.1634664455,20.6599296208,20.1634744154,20.1634442293,20.4856841162,20.1636248129,20.9087964395,21.6277740766
